polity_name,polity_name_FT,start_year,end_year,comments_ft,polity_code,polity_name_full,polity_code_full,polity_name_FAO,polity_name_source,polity_code_source
Gilbert and Ellice Island,Gilbert and Ellice Island,1892,1938,Joint estimation British settlement Oceania,NA,Gilbert and Ellice Island,NA,NA,FT,FT
Mariana Island,Mariana Island,1800,1938,Spanish colony 1800-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania,NA,Mariana Island,NA,NA,FT,FT
Marquesas Island,Marquesas Island,1844,1903,Joint estimation with French settlements Oceania,NA,Marquesas Island,NA,NA,FT,FT
Marshall Island,Marshall Island,1874,1938,Spanish colony 1870-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania,NA,Marshall Island,NA,NA,FT,FT
Midway Island,Midway Island,1859,1938,Joint estimation with US Settlement Oceania,NA,Midway Island,NA,NA,FT,FT
Nauru,Nauru,1888,1938,British-Australian mandate 1914-1938; Joint estimation with German colonies Oceania,NA,Nauru,NA,NA,FT,FT
New Caledonia,New Caledonia,1853,1938,Joint estimation with French settlements Oceania,NA,New Caledonia,NA,NA,FT,FT
New Guinea,New Guinea,1884,1938,German colony 1884; Australian mandate 1914-1938; Joint estimation with German colonies Oceania,NA,New Guinea,NA,NA,FT,FT
New Hebrides,New Hebrides,1906,1938,British-French condominium;  joint estimates British settlement Oceania; present-day Vanuatu,NA,New Hebrides,NA,NA,FT,FT
Niue Island,Niue Island,1900,1901,annexed to New Zealand 1901-1938; Joint estimation New Zealand,NA,Niue Island,NA,NA,FT,FT
Norfolk Island,Norfolk Island,1800,1901,annexed to Australia; joint estimate with Australia,NA,Norfolk Island,NA,NA,FT,FT
Palmyra Island,Palmyra Island,1889,1912,1862-1898 Hawaii then USA; joint estimate with Hawaii,NA,Palmyra Island,NA,NA,FT,FT
Pitcairn Island,Pitcairn Island,1839,1938,UK colony; joint estimation British settlement Oceania,NA,Pitcairn Island,NA,NA,FT,FT
Queensland,Queensland,1859,1900,Joint estimation with Australia; 1800-1858 part of New South Wales,NA,Queensland,NA,NA,FT,FT
Society Islands  (Tahiti),Society Islands  (Tahiti),1844,1903,independent Kingdom to 1844; French protectorate 1844-1881; then French colony joint estimate with French settlement Oceania,NA,Society Islands  (Tahiti),NA,NA,FT,FT
Solomon Islands,Solomon Islands,1885,1938,German colony 1885-1900; British 1900-1938; Joint estimation with British settlement Oceania,NA,Solomon Islands,NA,NA,FT,FT
