polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
LUX,Luxembourg,Luxembourg,LUX,Luxembourg,Luxembourg,FAOSTAT,ISO3,2000,NA,NA
MKD,North Macedonia,North Macedonia,MKD,North Macedonia,NA,FAOSTAT,ISO3,1992,NA,NA
MDG,Madagascar,Madagascar,MDG,Madagascar,Madagascar,FAOSTAT,ISO3,NA,NA,NA
MWI,Malawi,Malawi,MWI,Malawi,NA,FAOSTAT,ISO3,NA,NA,NA
MYS,Malaysia,Malaysia,MYS,Malaysia,NA,FAOSTAT,ISO3,NA,NA,NA
MDV,Maldives,Maldives,MDV,Maldives,NA,FAOSTAT,ISO3,NA,NA,NA
MLI,Mali,Mali,MLI,Mali,NA,FAOSTAT,ISO3,NA,NA,NA
MLT,Malta,Malta,MLT,Malta,Malta,FAOSTAT,ISO3,NA,NA,NA
MRT,Mauritania,Mauritania,MRT,Mauritania,NA,FAOSTAT,ISO3,NA,NA,NA
MUS,Mauritius,Mauritius,MUS,Mauritius,Mauritius,FAOSTAT,ISO3,NA,NA,NA
MEX,Mexico,Mexico,MEX,Mexico,Mexico,FAOSTAT,ISO3,NA,NA,NA
MDA,Republic of Moldova,Republic of Moldova,MDA,Republic of Moldova,NA,FAOSTAT,ISO3,1992,NA,NA
MNG,Mongolia,Mongolia,MNG,Mongolia,Mongolia,FAOSTAT,ISO3,NA,NA,NA
MNE,Montenegro,Montenegro,MNE,Montenegro,Montenegro,FAOSTAT,ISO3,2006,NA,NA
MAR,Morocco,Morocco,MAR,Morocco,Morocco,FAOSTAT,ISO3,NA,NA,NA
MOZ,Mozambique,Mozambique,MOZ,Mozambique,Mozambique,FAOSTAT,ISO3,NA,NA,NA
MMR,Myanmar,Myanmar,MMR,Myanmar,NA,FAOSTAT,ISO3,NA,NA,NA
NAM,Namibia,Namibia,NAM,Namibia,NA,FAOSTAT,ISO3,NA,NA,NA
NPL,Nepal,Nepal,NPL,Nepal,Nepal,FAOSTAT,ISO3,NA,NA,NA
NLD,Netherlands,Netherlands,NLD,Netherlands (Kingdom of the),Netherlands,FAOSTAT shortened,ISO3,NA,NA,NA
NZL,New Zealand,New Zealand,NZL,New Zealand,NA,FAOSTAT,ISO3,NA,NA,NA
NIC,Nicaragua,Nicaragua,NIC,Nicaragua,Nicaragua,FAOSTAT,ISO3,NA,NA,NA
NER,Niger,Niger,NER,Niger,NA,FAOSTAT,ISO3,NA,NA,NA
NGA,Nigeria,Nigeria,NGA,Nigeria,Nigeria,FAOSTAT,ISO3,NA,NA,NA
PRK,North Korea,North Korea,PRK,Democratic People's Republic of Korea,NA,FAOSTAT shortened,ISO3,NA,NA,NA
NOR,Norway,Norway,NOR,Norway,Norway,FAOSTAT,ISO3,NA,NA,NA
OMN,Oman,Oman,OMN,Oman,Oman,FAOSTAT,ISO3,NA,NA,NA
PAK,Pakistan,Pakistan,PAK,Pakistan,NA,FAOSTAT,ISO3,NA,NA,NA
PSE,Palestine,Palestine,PSE,Palestine,NA,FAOSTAT,ISO3,1992,NA,NA
PAN,Panama,Panama,PAN,Panama,Panama,FAOSTAT,ISO3,NA,NA,NA
PNG,Papua New Guinea,Papua New Guinea,PNG,Papua New Guinea,NA,FAOSTAT,ISO3,NA,NA,NA
PRY,Paraguay,Paraguay,PRY,Paraguay,Paraguay,FAOSTAT,ISO3,NA,NA,NA
PER,Peru,Peru,PER,Peru,Peru,FAOSTAT,ISO3,NA,NA,NA
PHL,Philippines,Philippines,PHL,Philippines,Philippines,FAOSTAT,ISO3,NA,NA,NA
POL,Poland,Poland,POL,Poland,Poland,FAOSTAT,ISO3,NA,NA,NA
PRT,Portugal,Portugal,PRT,Portugal,Portugal,FAOSTAT,ISO3,NA,NA,NA
PRI,Puerto Rico,Puerto Rico,PRI,Puerto Rico,Puerto Rico,FAOSTAT,ISO3,NA,NA,NA
QAT,Qatar,Qatar,QAT,Qatar,NA,FAOSTAT,ISO3,NA,NA,NA
ROU,Romania,Romania,ROU,Romania,Romania,FAOSTAT,ISO3,NA,NA,NA
RUS,Russian Federation,Russian Federation,RUS,Russian Federation,NA,FAOSTAT,ISO3,1992,NA,NA
RWA,Rwanda,Rwanda,RWA,Rwanda,NA,FAOSTAT,ISO3,NA,NA,NA
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,NA,FAOSTAT,ISO3,NA,NA,NA
LCA,Saint Lucia,Saint Lucia,LCA,Saint Lucia,NA,FAOSTAT,ISO3,NA,NA,NA
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,NA,FAOSTAT,ISO3,NA,NA,NA
WSM,Samoa,Samoa,WSM,Samoa,NA,FAOSTAT,ISO3,NA,NA,NA
STP,Sao Tome and Principe,Sao Tome and Principe,STP,Sao Tome and Principe,Sao Tome and Principe,FAOSTAT,ISO3,NA,NA,NA
SAU,Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia,FAOSTAT,ISO3,NA,NA,NA
SEN,Senegal,Senegal,SEN,Senegal,NA,FAOSTAT,ISO3,NA,NA,NA
SRB,Serbia,Serbia,SRB,Serbia,NA,FAOSTAT,ISO3,2006,NA,NA
SCG,Serbia and Montenegro,Serbia and Montenegro,SCG,Serbia and Montenegro,NA,FAOSTAT,ISO3,1992,2005,NA
SLE,Sierra Leone,Sierra Leone,SLE,Sierra Leone,Sierra Leone,FAOSTAT,ISO3,NA,NA,NA
SGP,Singapore,Singapore,SGP,Singapore,NA,FAOSTAT,ISO3,NA,NA,NA
SVK,Slovakia,Slovakia,SVK,Slovakia,NA,FAOSTAT,ISO3,1993,NA,NA
SVN,Slovenia,Slovenia,SVN,Slovenia,NA,FAOSTAT,ISO3,1992,NA,NA
SLB,Solomon Islands,Solomon Islands,SLB,Solomon Islands,Solomon Islands,FAOSTAT,ISO3,NA,NA,NA
SOM,Somalia,Somalia,SOM,Somalia,NA,FAOSTAT,ISO3,NA,NA,NA
ZAF,South Africa,South Africa,ZAF,South Africa,South Africa,FAOSTAT,ISO3,NA,NA,NA
KOR,Republic of Korea,Republic of Korea,KOR,Republic of Korea,NA,FAOSTAT,ISO3,NA,NA,NA
ESP,Spain,Spain,ESP,Spain,Spain,FAOSTAT,ISO3,NA,NA,NA
LKA,Sri Lanka,Sri Lanka,LKA,Sri Lanka,Sri Lanka,FAOSTAT,ISO3,NA,NA,NA
SDN,Sudan,Sudan,SDN,Sudan,NA,FAOSTAT unified (Sudan (Former) and Sudan),ISO3,NA,NA,NA
SSD,South Sudan,South Sudan,SSD,South Sudan,NA,FAOSTAT,ISO3,2012,NA,NA
SUR,Suriname,Suriname,SUR,Suriname,NA,FAOSTAT,ISO3,NA,NA,NA
SWZ,Eswatini,Eswatini,SWZ,Eswatini,NA,FAOSTAT,ISO3,NA,NA,NA
SWE,Sweden,Sweden,SWE,Sweden,Sweden,FAOSTAT,ISO3,NA,NA,NA
CHE,Switzerland,Switzerland,CHE,Switzerland,Switzerland,FAOSTAT,ISO3,NA,NA,NA
SYR,Syria,Syria,SYR,Syria,NA,FAOSTAT shortened,ISO3,NA,NA,NA
TJK,Tajikistan,Tajikistan,TJK,Tajikistan,NA,FAOSTAT,ISO3,1992,NA,NA
TZA,Tanzania,Tanzania,TZA,United Republic of Tanzania,NA,FAOSTAT shortened,ISO3,NA,NA,NA
THA,Thailand,Thailand,THA,Thailand,NA,FAOSTAT,ISO3,NA,NA,NA
TLS,Timor-Leste,Timor-Leste,TLS,Timor-Leste,NA,FAOSTAT,ISO3,NA,NA,NA
TGO,Togo,Togo,TGO,Togo,NA,FAOSTAT,ISO3,NA,NA,NA
TTO,Trinidad and Tobago,Trinidad and Tobago,TTO,Trinidad and Tobago,Trinidad and Tobago,FAOSTAT,ISO3,NA,NA,NA
TUN,Tunisia,Tunisia,TUN,Tunisia,Tunisia,FAOSTAT,ISO3,NA,NA,NA
TUR,Turkey,Turkey,TUR,Türkiye,NA,FAOSTAT,ISO3,NA,NA,NA
TKM,Turkmenistan,Turkmenistan,TKM,Turkmenistan,NA,FAOSTAT,ISO3,1992,NA,NA
UGA,Uganda,Uganda,UGA,Uganda,NA,FAOSTAT,ISO3,NA,NA,NA
UKR,Ukraine,Ukraine,UKR,Ukraine,NA,FAOSTAT,ISO3,1992,NA,NA
ARE,United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,NA,FAOSTAT,ISO3,NA,NA,NA
GBR,United Kingdom,United Kingdom,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,FAOSTAT shortened,ISO3,NA,NA,NA
USA,United States of America,United States of America,USA,United States of America,United States of America,FAOSTAT,ISO3,NA,NA,NA
URY,Uruguay,Uruguay,URY,Uruguay,Uruguay,FAOSTAT,ISO3,NA,NA,NA
SUN,USSR,USSR,SUN,USSR,NA,FAOSTAT,ISO3,NA,1991,NA
UZB,Uzbekistan,Uzbekistan,UZB,Uzbekistan,NA,FAOSTAT,ISO3,1992,NA,NA
VUT,Vanuatu,Vanuatu,VUT,Vanuatu,NA,FAOSTAT,ISO3,NA,NA,NA
VEN,Venezuela,Venezuela,VEN,Venezuela (Bolivarian Republic of),Venezuela,FAOSTAT shortened,ISO3,NA,NA,NA
VNM,Viet Nam,Viet Nam,VNM,Viet Nam,NA,FAOSTAT,ISO3,NA,NA,NA
YEM,Yemen,Yemen,YEM,Yemen,NA,FAOSTAT,ISO3,NA,NA,NA
YUG,Yugoslav SFR,Yugoslav SFR,YUG,Yugoslav SFR,NA,FAOSTAT,ISO3,NA,1991,NA
ZMB,Zambia,Zambia,ZMB,Zambia,NA,FAOSTAT,ISO3,NA,NA,NA
ZWE,Zimbabwe,Zimbabwe,ZWE,Zimbabwe,NA,FAOSTAT,ISO3,NA,NA,NA
GUF,French Guiana,French Guiana,GUF,French Guiana,French Guiana,FAOSTAT,ISO3,NA,NA,NA
GNQ,Equatorial Guinea,Equatorial Guinea,GNQ,Equatorial Guinea,NA,FAOSTAT,ISO3,NA,NA,NA
RAFR,Africa Other,Africa Other,RAFR,NA,NA,WHEP,WHEP,NA,NA,NA
RASI,Asia Other,Asia Other,RASI,NA,NA,WHEP,WHEP,NA,NA,NA
REUR,Europe Other,Europe Other,REUR,NA,NA,WHEP,WHEP,NA,NA,NA
RLAM,Latin America Other,Latin America Other,RLAM,NA,NA,WHEP,WHEP,NA,NA,NA
