polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
RNAM,North America Other,North America Other,RNAM,NA,NA,WHEP,WHEP,NA,NA,NA
ROCE,Oceania Other,Oceania Other,ROCE,NA,NA,WHEP,WHEP,NA,NA,NA
NA,Leeward Islands,Leeward Islands,NA,NA,NA,WHEP,NA,1800,1938,NA
NA,NA,American Samoa,ROCE,NA,American Samoa,WHEP,NA,NA,NA,NA
NA,NA,Andorra,REUR,NA,Andorra,WHEP,NA,NA,NA,NA
NA,NA,Anguilla,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Aruba,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Bermuda,RLAM,NA,Bermuda,WHEP,NA,NA,NA,NA
NA,NA,Bhutan,RASI,NA,Bhutan,WHEP,NA,NA,NA,NA
NA,NA,Bouvet Island,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,British Indian Ocean Territory,RASI,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,British Virgin Islands,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Canton and Enderbury Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Cayman Islands,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Christmas Island,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Cocos (Keeling) Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Comoros,RAFR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Cook Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Cura̤ao,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Falkland Islands (Malvinas),RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Faroe Islands,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,French Southern and Antarctic Territories,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Gibraltar,REUR,NA,Gibraltar,WHEP,NA,NA,NA,NA
NA,NA,Greenland,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Guadeloupe,RLAM,NA,Guadeloupe,WHEP,NA,NA,NA,NA
NA,NA,Guam,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Heard and McDonald Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Holy See,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Johnston Island,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Liechtenstein,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Marshall Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Martinique,RLAM,NA,Martinique,WHEP,NA,NA,NA,NA
NA,NA,Mayotte,RAFR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Micronesia (Federated States of),ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Midway Island,ROCE,NA,Midway Island,WHEP,NA,NA,NA,NA
NA,NA,Monaco,REUR,NA,Monaco,WHEP,NA,NA,NA,NA
NA,NA,Montserrat,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Nauru,ROCE,NA,Nauru,WHEP,NA,NA,NA,NA
NA,NA,Netherlands Antilles,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,New Caledonia,ROCE,NA,New Caledonia,WHEP,NA,NA,NA,NA
NA,NA,Niue,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Norfolk Island,ROCE,NA,Norfolk Island,WHEP,NA,NA,NA,NA
NA,NA,Northern Mariana Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Pacific Islands Trust Territory,RASI,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Palau,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Pitcairn Islands,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Reunion,RAFR,NA,Reunion,WHEP,NA,NA,NA,NA
NA,NA,"Saint Helena, Ascension and Tristan da Cunha",RAFR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Saint Pierre and Miquelon,RNAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Saint-Martin (French Part),RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,San Marino,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Seychelles,RAFR,NA,Seychelles,WHEP,NA,NA,NA,NA
NA,NA,South Georgia and the South Sandwich Islands,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Svalbard and Jan Mayen Islands,REUR,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Tokelau,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Tonga,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Turks and Caicos Islands,RLAM,NA,Turks and Caicos Islands,WHEP,NA,NA,NA,NA
NA,NA,Tuvalu,ROCE,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,United States Virgin Islands,RLAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,US Minor Is.,RNAM,NA,NA,WHEP,NA,NA,NA,NA
NA,NA,Wake Island,ROCE,NA,Wake Island,WHEP,NA,NA,NA,NA
NA,NA,Wallis and Futuna Islands,ROCE,NA,Wallis and Futuna Islands,WHEP,NA,NA,NA,NA
NA,NA,Western Sahara,RAFR,NA,NA,WHEP,NA,NA,NA,NA
NA,Basutoland,Basutoland,NA,NA,Basutoland,FT,FT,1884,1938,present-day Lesotho
NA,Bechuanaland Protectorate,Bechuanaland Protectorate,NA,NA,Bechuanaland Protectorate,FT,FT,1885,1938,present-day Botswana
NA,Belgian Congo,Belgian Congo,NA,NA,Belgian Congo,FT,FT,1885,1938,NA
NA,British Bechuanaland,British Bechuanaland,NA,NA,British Bechuanaland,FT,FT,1885,1895,1896-1938 annexed to  South Africa
NA,British Cameroon,British Cameroon,NA,NA,British Cameroon,FT,FT,1914,1938,"population in 1921; Before 1914 part of German Kameroon, then divided between Nigeria and Cameroon; estimate jointly with Nigeria"
NA,British East Africa,British East Africa,NA,NA,British East Africa,FT,FT,1895,1938,Present day Kenya and Uganda
NA,British Protectorate (British Somaliland),British Protectorate (British Somaliland),NA,NA,British Protectorate (British Somaliland),FT,FT,1884,1938,NA
