polity_name,polity_code,start_year,end_year,geometry_strategy,proxy_source,notes
Sarawak,SAR-1841-2025,1841,2025,COMBINE_MODERN,modern Sarawak state (GADM L1),
Spanish Guinea,SPA-1858-2025,1858,2025,COMBINE_MODERN,modern Equatorial Guinea,
Sudan (Anglo-Egyptian),SUD-1882-2025,1882,2025,COMBINE_MODERN,modern Sudan + South Sudan,
Syria and Lebanon,SYR-1918-2025,1918,2025,COMBINE_MODERN,modern Syria + Lebanon,
Badakhshan,BAD-1800-1873,1800,1873,HISTORICAL_GIS,,
Bonin island,BON-1846-1873,1846,1873,HISTORICAL_GIS,,
British Columbia,BCO-1858-1866,1858,1866,HISTORICAL_GIS,,
Danish India,DAN-1800-1845,1800,1845,HISTORICAL_GIS,,
Duchy Modena,DMO-1800-1860,1800,1860,HISTORICAL_GIS,,
Duchy Parma,DPA-1800-1860,1800,1860,HISTORICAL_GIS,,
Grenada,GRD-1800-1833,1800,1833,HISTORICAL_GIS,,
Herat,HER-1800-1862,1800,1862,HISTORICAL_GIS,,
Ionian islands,ION-1815-1864,1815,1864,HISTORICAL_GIS,,
Khiva,KHI-1800-1873,1800,1873,HISTORICAL_GIS,,
Kokand,KOK-1800-1876,1800,1876,HISTORICAL_GIS,,
Lower Quebec,LOW-1800-1866,1800,1866,HISTORICAL_GIS,,
New Brunswick,NBW-1800-1866,1800,1866,HISTORICAL_GIS,,
Nova Scotia  Cape Breton Isl.,NOV-1800-1866,1800,1866,HISTORICAL_GIS,,
Ontario,ONT-1800-1866,1800,1866,HISTORICAL_GIS,,
Papal States,PAP-1800-1870,1800,1870,HISTORICAL_GIS,,
Prince Edward Island,PRI-1800-1866,1800,1866,HISTORICAL_GIS,,
Sardinia,SAR-1800-1860,1800,1860,HISTORICAL_GIS,,
St Martin and St Barthélemy,STM-1816-1878,1816,1878,HISTORICAL_GIS,,
St. Lucía,ST.-1800-1838,1800,1838,HISTORICAL_GIS,,
St. Vincent,ST.-1800-1833,1800,1833,HISTORICAL_GIS,,
Tuscany,TUS-1800-1860,1800,1860,HISTORICAL_GIS,,
Two Sicilies,TWO-1800-1860,1800,1860,HISTORICAL_GIS,,
Vancouver's Island,VAN-1849-1866,1849,1866,HISTORICAL_GIS,,
Yunnan,YUN-1856-1871,1856,1871,HISTORICAL_GIS,,
Abu Dhabi,ABU-1800-1971,1800,1971,CSHAPES_DEPENDENT,,
Aden,ADE-1839-1967,1839,1967,CSHAPES_DEPENDENT,,
Ajman,AJM-1800-1971,1800,1971,CSHAPES_DEPENDENT,,
British Bechuanaland,BBE-1885-1895,1885,1895,CSHAPES_DEPENDENT,,
Brunei (greater),BRN-1816-1888,1816,1888,CSHAPES_DEPENDENT,,
Bukhara,BUK-1800-1920,1800,1920,CSHAPES_DEPENDENT,,
Canton and Enderbury Islands,CAN-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
