Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
2015,Tunisia,Horses,"Pulses, Other and products",crops,crops,314.481781522851,333.137480426749,396.633162091105,63.495681664356,0.160086668824155
2000,Lithuania,Geese,Molasses,crops,crops,0.520377867370757,0.691532049662135,0.768368944069039,0.0768368944069038,0.0999999999999999
1967,Switzerland,"Cattle, non-dairy",Wheat and products,crops,crops,8875.87997730242,10097.7019081939,11219.6687868821,1121.96687868821,0.1
2019,United Arab Emirates,"Chickens, broilers","Roots, Other",crops,crops,41.9631607809979,139.721955985565,155.246617761739,15.5246617761739,0.1
1972,Canada,Horses,Molasses,crops,crops,1360.62649012658,1808.14151511838,2009.04612790932,200.904612790931,0.1
2020,France,Goats,Molasses,crops,crops,435.40608837542,578.612742027137,642.903046696819,64.2903046696818,0.0999999999999998
2015,Indonesia,Pigs,"Sweeteners, Other",crops,crops,33017.0849231135,33182.9999227271,41209.9164715557,8026.91654882861,0.194781189483095
1968,Mexico,"Chickens, broilers",Cottonseed Cake,crops,crops,32356.7876585066,36254.1038190551,40282.3375767279,4028.23375767279,0.1
2007,Kazakhstan,"Chickens, layers",Rye and products,crops,crops,1385.91549931483,1582.09531885255,1757.88368761394,175.788368761394,0.0999999999999998
1970,South Africa,Goats,Sweet potatoes,crops,crops,0.130126524792773,0.504366375165788,0.560407083517541,0.0560407083517539,0.0999999999999996
1998,Republic of Moldova,Horses,Straw,residues,residues_grazers,64733.921944384,73939.374008434,305664.27175847,231724.897750036,0.758102660860346
2019,Albania,Asses,Molasses,crops,crops,5.72658134684473,7.61007487952788,8.45563875503098,0.845563875503097,0.1
2021,Angola,"Cattle, dairy","Roots, Other",crops,crops,34.8492827723138,116.035347743553,129.791773021638,13.7564252780852,0.105988422515746
1982,Greece,Rabbits and hares,Soyabean Cake,crops,crops,0.0785154537101245,0.0892221064887779,0.0991356738764199,0.00991356738764199,0.1
1976,Albania,"Chickens, broilers",Other crop residues,residues,residues,4939.59092019498,5490.46786238789,9026.113140941,3535.6452785531,0.391712935938725
1975,Gabon,"Cattle, dairy",DDGS Barley,crops,crops,1.30252776244944e-17,1.41733162399286e-17,1.57481291554762e-17,1.57481291554762e-18,0.1
1996,Malta,Horses,Sunflowerseed Cake,crops,crops,10.4980414922371,11.5363093321287,12.818121480143,1.2818121480143,0.1
1961,Solomon Islands,"Chickens, broilers",Other crop residues,residues,residues,58.7128874949996,65.2607122952941,72.5119025503267,7.25119025503267,0.1
1974,Iran,Pigs,Millet and products,crops,crops,111.186096682898,126.27608936161,140.306765957345,14.0306765957345,0.1
2019,Japan,"Chickens, broilers",Other crop residues,residues,residues,1429725.58292205,1589172.5634554,2170922.07662005,581749.513164647,0.267973465943275
