area_code,item_cbs_code,physical_ha,harvested_ha
19,328,139411.8,139411.8
19,2511,202329.4,202329.4
19,2513,54184.1,54203.4
19,2514,419441.9,419472.7
19,2515,349.1,349.1
19,2516,13906.4,13906.4
19,2518,405568.1,405568.1
19,2520,108250.6,108250.6
19,2531,181380.4,182184.2
19,2532,26138,29135.8
19,2533,1083.8,1094
19,2534,17566.1,17566.1
19,2535,0.6,0.6
19,2536,177775.2,177777.8
19,2537,0.3,0.3
19,2546,65504.6,78410.5
19,2547,3684.2,3684.2
19,2549,13899.3,13966.2
19,2551,53505,53505
19,2552,18703.7,18703.7
19,2555,1176740.1,1176740.1
19,2557,129542.5,129542.5
19,2558,3.5,3.5
19,2560,0.3,0.3
19,2561,10106.6,10106.6
19,2563,1.1,1.1
19,2570,191.5,191.5
19,2601,4819,4819
19,2602,7294.6,7294.6
19,2605,45385.9,45385.9
19,2611,46187.8,46187.8
19,2612,4394.9,4394.9
19,2613,470.4,470.4
19,2614,0.2,0.2
19,2615,19811,19815.4
19,2616,40485.5,40489.4
19,2617,744.5,744.5
19,2618,4948.9,4948.9
19,2620,3388.4,3388.4
19,2625,17231.6,17231.6
19,2630,25604,25617.2
19,2633,10165.7,10179.3
19,2635,188.9,280.2
19,2640,39.3,39.3
19,2645,3014.3,3014.3
19,2671,1023,1177.1
19,2672,7.6,7.6
19,2807,176957.2,176957.2
20,328,522.3,522.3
20,2511,301.6,301.6
20,2513,0.9,0.9
20,2514,87998.5,87998.5
20,2515,5.9,5.9
20,2516,6.5,6.5
20,2517,9934.9,9938
20,2518,48714,48714.6
20,2520,3102.9,3102.9
20,2531,229.8,229.8
20,2532,0.1,0.1
20,2533,113.7,113.7
20,2534,8714.6,8714.6
20,2535,5063.1,5063.1
20,2536,33.4,33.4
20,2546,10,10
20,2549,35940.2,35940.5
20,2551,0.8,0.8
20,2552,966.6,995.1
20,2555,42.1,42.1
20,2557,1030.3,1030.3
20,2570,7.6,7.6
20,2601,100.1,100.1
20,2602,116.3,116.3
20,2605,4822.7,4823.1
20,2611,235.1,235.1
20,2612,2,2
20,2613,2.7,2.7
20,2615,1.5,1.5
20,2617,0.1,0.1
20,2618,2,2
20,2620,8.2,8.2
20,2625,2010.5,2010.5
20,2630,1.7,1.7
20,2635,3,3
20,2640,0.5,0.5
20,2645,0.2,0.2
20,2662,0.5,0.5
20,2665,0.5,0.5
20,2667,0.5,0.5
20,2671,1.3,1.3
20,2807,0.1,0.1
21,254,202182.3,202182.3
21,328,1598672.1,1598674.4
21,2511,2422450.8,2422672.5
21,2513,103364.7,103365.1
21,2514,16698016,16698016
21,2515,5389.1,5389.1
21,2516,453858.8,453858.8
21,2517,24.9,24.9
21,2518,833179.8,872532.6
21,2520,46531.9,46531.9
21,2531,118100.8,118103.8
21,2532,1192007.4,1192007.4
21,2533,57351.3,58732.6
21,2534,110.9,110.9
21,2535,25334.1,25407.5
21,2536,10002301,10003227
21,2546,2448275,2721430.5
21,2547,979.4,979.4
21,2549,36498.9,36498.9
21,2551,410361.2,410361.2
21,2552,172685.3,172685.3
21,2555,37311244,37311364
21,2557,49887.1,49888.2
21,2558,35143,35149.9
21,2560,190110.5,190128
21,2561,148968.1,148968.1
21,2563,1600.9,1600.9
21,2570,50477.5,50477.5
21,2601,52213.4,52213.4
21,2602,47563.4,47563.4
21,2605,368418,368418
21,2611,608364.2,608364.2
21,2612,57454,57454
21,2613,4404.3,4404.3
21,2614,0.3,0.3
21,2615,456064.4,456208
21,2616,458.6,458.7
21,2617,31797.5,31797.5
21,2618,63901.4,63901.4
21,2620,71850.7,71850.7
21,2625,644622.3,644622.3
21,2630,1907257.5,1907366.1
21,2633,589360.8,590639
21,2635,67664.8,67664.8
21,2640,35911.4,35911.4
21,2645,3.6,3.6
21,2662,908.4,908.4
21,2664,697.4,697.4
21,2665,96180.5,96180.5
21,2667,0.9,0.9
21,2671,345202.8,345202.8
21,2672,156679.8,156679.8
21,2807,1604416,1604416
23,254,42.8,42.8
23,328,0.4,0.4
23,2514,22382.5,22382.5
23,2518,5343.7,5343.7
23,2531,80.8,80.8
23,2532,63.4,63.4
23,2533,22.1,22.1
23,2534,31.5,31.5
23,2535,14.5,14.5
23,2536,37205,37282.6
23,2546,5596.9,6975.9
23,2547,554.1,554.1
23,2549,6.6,6.6
23,2551,337.1,337.1
23,2552,94.8,94.8
23,2555,8273.7,8273.7
23,2558,0.1,0.1
23,2560,977.4,977.4
23,2561,14.3,14.3
23,2601,71.6,71.6
23,2602,1.4,1.4
23,2605,1411.8,1411.8
23,2611,10979.8,10979.8
23,2612,1.4,1.4
23,2613,2065.9,2065.9
23,2614,0.3,0.3
23,2615,2551.1,2953.3
23,2616,334.7,334.7
23,2617,0.8,0.8
23,2618,326,326
23,2620,0.5,0.5
23,2625,1299,1299
23,2630,67.9,67.9
23,2633,369.7,369.7
23,2635,0.2,0.2
23,2640,0.2,0.2
23,2645,13.3,13.3
23,2665,0.5,0.5
23,2667,0.1,0.1
23,2671,0.5,0.5
23,2672,10.7,10.7
23,2807,3167.5,3167.5
25,254,3039.3,3039.3
25,2532,107.2,107.2
25,2533,6362.8,6362.8
25,2535,3848.6,3849.3
25,2560,47060.5,47062.4
25,2605,246.7,246.7
25,2615,116.8,116.8
25,2633,11289.6,11289.6
25,2671,71.8,71.8
25,2807,699.5,699.5
26,254,741.7,741.7
26,2514,1.1,1.1
26,2532,173.9,173.9
26,2533,35.6,36.2
26,2534,431.3,431.3
26,2535,239.4,239.4
26,2536,0.2,0.2
26,2551,0.6,0.6
26,2560,215.8,215.8
26,2570,9.7,9.7
26,2601,5.4,5.4
26,2605,85.2,85.2
26,2611,53.6,53.6
26,2612,14.4,14.4
26,2613,0.1,0.1
26,2615,499,499
26,2618,122,122
26,2625,860.2,860.2
26,2630,0.2,0.2
26,2633,4,4
26,2635,0.2,0.2
26,2640,67.6,67.6
26,2645,0.1,0.1
26,2671,0.8,0.8
26,2672,3374.7,3374.7
26,2807,807.2,807.2
27,328,580.7,580.7
27,677,330.9,330.9
27,2511,1211508.5,1211520.8
27,2513,124063.2,124063.2
27,2514,599077.3,599080.2
27,2515,3855.1,3855.1
27,2516,7665.4,7665.4
27,2517,3836.3,3836.3
27,2518,3159.6,3159.6
27,2520,9815.7,9815.7
27,2531,10276.2,10279.8
27,2537,1728.5,1728.5
27,2546,1392.2,1392.2
27,2547,13608.6,13608.6
27,2549,14405.2,14405.4
27,2551,9731,9731
27,2552,6951.5,6951.5
27,2555,3720.8,3720.8
27,2557,822707.7,822707.7
27,2558,123063.8,123063.8
27,2561,4.3,4.3
27,2563,215.5,215.5
27,2570,6099.2,6099.2
27,2601,3689.9,3689.9
27,2602,2940.7,2940.7
27,2605,32937,32937
27,2611,20.9,20.9
27,2612,5.2,5.2
27,2613,0.3,0.3
27,2617,3938.4,3938.4
27,2619,0.3,0.3
27,2620,26158.5,26158.5
27,2625,40257.8,40257.8
27,2635,6,6
27,2645,23594.6,23594.6
27,2664,632.4,632.4
27,2671,3817,3817
27,2807,12119,12119
28,254,30916.4,30916.4
28,310,42.9,42.9
28,328,178927.6,178927.6
28,677,2.8,2.8
28,2511,59961.8,59961.8
28,2513,201.6,201.6
28,2514,500933.2,500933.2
28,2515,159.1,159.1
28,2516,115.1,115.1
28,2517,153804.6,153804.6
28,2518,145548.1,145548.6
28,2520,19940.6,19940.6
28,2531,31558.3,31568.5
28,2532,32383.2,32383.2
28,2533,6673.2,6673.2
28,2534,41.2,41.2
28,2535,64562.7,64562.7
28,2536,175105,175105
28,2537,30903.6,30903.6
28,2546,3225388.2,3225587.8
28,2547,47224.5,47224.5
28,2549,927362,927419.8
28,2551,67966.8,67966.8
28,2552,1054854.4,1054854.4
28,2555,138649.1,138649.1
28,2557,264195.8,264195.8
28,2558,43716.2,43716.2
28,2560,47349.5,47361.5
28,2561,1377211.4,1377211.4
28,2570,12708.4,12708.4
28,2601,157.5,157.5
28,2602,68089.9,68089.9
28,2605,296861.6,296861.6
28,2611,697.1,697.1
28,2612,44.6,44.6
28,2613,36.2,36.2
28,2614,29.4,29.4
28,2615,559.9,559.9
28,2616,98221,98221
28,2617,734.1,734.1
28,2618,178.8,178.8
28,2619,2,2
28,2620,29.8,29.8
28,2625,358717.9,358717.9
28,2630,12490.7,12533.5
