area_code,item_cbs_code,physical_ha,harvested_ha
19,2615,23763.7,19815.4
19,2616,48313.4,40489.4
19,2617,883.8,744.5
19,2618,5912.8,4948.9
19,2620,4008,3388.4
19,2625,20706.1,17231.6
19,2630,25604,25617.2
19,2633,10165.7,10179.3
19,2635,188.9,280.2
19,2640,45.8,39.3
19,2645,4064.2,3014.3
19,2671,1232.5,1177.1
19,2672,7.6,7.6
19,2807,386381.8,176957.2
20,328,550.4,522.3
20,2511,700,301.6
20,2513,0.9,0.9
20,2514,107256.9,87998.5
20,2515,5.9,5.9
20,2516,6.5,6.5
20,2517,15314.4,9938
20,2518,98840.6,48714.6
20,2520,4852.7,3102.9
20,2531,299.6,229.8
20,2532,0.1,0.1
20,2533,114.9,113.7
20,2534,8714.6,8714.6
20,2535,5063.1,5063.1
20,2536,33.4,33.4
20,2546,10,10
20,2549,58923.4,35940.5
20,2551,0.8,0.8
20,2552,1812.4,995.1
20,2555,42.1,42.1
20,2557,1810.7,1030.3
20,2570,7.6,7.6
20,2601,111,100.1
20,2602,128.1,116.3
20,2605,5059.5,4823.1
20,2611,249.1,235.1
20,2612,2,2
20,2613,2.7,2.7
20,2615,1.5,1.5
20,2617,0.1,0.1
20,2618,2,2
20,2620,8.2,8.2
20,2625,2115.8,2010.5
20,2630,1.7,1.7
20,2635,3,3
20,2640,0.5,0.5
20,2645,0.2,0.2
20,2662,0.5,0.5
20,2665,0.5,0.5
20,2667,0.5,0.5
20,2671,1.3,1.3
20,2807,0.1,0.1
21,254,202182.3,202182.3
21,328,1680956.3,1598674.4
21,2511,2589292.4,2422672.5
21,2513,103364.7,103365.1
21,2514,18036108.5,16698016
21,2515,5786.7,5389.1
21,2516,483001.3,453858.8
21,2517,24.9,24.9
21,2518,919470.1,872532.6
21,2520,51654.8,46531.9
21,2531,125009.1,118103.8
21,2532,1294350.9,1192007.4
21,2533,61319.2,58732.6
21,2534,110.9,110.9
21,2535,27077.3,25407.5
21,2536,10449862.7,10003227
21,2546,3205574.6,2721430.5
21,2547,1188.3,979.4
21,2549,50277.2,36498.9
21,2551,435064.1,410361.2
21,2552,192617.2,172685.3
21,2555,41412492.2,37311364
21,2557,56251.7,49888.2
21,2558,39792.5,35149.9
21,2560,190110.5,190128
21,2561,164657.8,148968.1
21,2563,1600.9,1600.9
21,2570,64016.3,50477.5
21,2601,54782.5,52213.4
21,2602,49935.7,47563.4
21,2605,386802.5,368418
21,2611,631672.6,608364.2
21,2612,59641.2,57454
21,2613,4573.5,4404.3
21,2614,0.3,0.3
21,2615,479194.7,456208
21,2616,458.6,458.7
21,2617,33432.7,31797.5
21,2618,67210.3,63901.4
21,2620,75025.6,71850.7
21,2625,667293.6,644622.3
21,2630,1907257.5,1907366.1
21,2633,589360.8,590639
21,2635,67664.8,67664.8
21,2640,37801.1,35911.4
21,2645,513.3,3.6
