lon,lat,lgp,thermal
-78.25,76.75,4.7,10
16.25,76.75,24.4,10
16.75,76.75,7,10
66.25,76.75,24,10
66.75,76.75,26.8,10
67.25,76.75,19.4,10
67.75,76.75,20.4,10
68.25,76.75,32.3,10
68.75,76.75,34.2,10
97.25,76.75,38.2,10
101.25,76.75,61.2,10
101.75,76.75,65,9
102.25,76.75,64.7,9
102.75,76.75,62.7,10
103.25,76.75,60.1,10
103.75,76.75,61.2,10
104.25,76.75,63.7,10
104.75,76.75,64.3,9
105.25,76.75,61.8,10
105.75,76.75,60.7,10
106.25,76.75,63.5,10
106.75,76.75,66.3,9
149.25,76.75,0,10
-122.25,76.25,0,10
-121.75,76.25,0,10
-121.25,76.25,0,10
-120.75,76.25,0,10
-120.25,76.25,0,10
-119.75,76.25,0,10
-119.25,76.25,0,10
-115.75,76.25,0,10
-115.25,76.25,0,10
-114.75,76.25,0,10
-114.25,76.25,0,10
-113.25,76.25,0,10
-109.75,76.25,0,10
-109.25,76.25,0,10
-108.75,76.25,0,10
-108.25,76.25,0,10
-103.75,76.25,0,10
-103.25,76.25,0,10
-102.75,76.25,0,10
-101.75,76.25,0,10
-101.25,76.25,0,10
-100.25,76.25,0,10
-99.75,76.25,0,10
-99.25,76.25,0,10
-98.75,76.25,0,10
-98.25,76.25,0,10
-97.75,76.25,0,10
-95.25,76.25,0,10
-92.75,76.25,0.5,10
-92.25,76.25,1.2,10
-91.75,76.25,0,10
-91.25,76.25,3.1,10
-90.75,76.25,9.7,10
-90.25,76.25,9.4,10
-89.75,76.25,10.5,10
-89.25,76.25,12.9,10
-80.75,76.25,17.3,10
-80.25,76.25,11.4,10
61.25,76.25,52,10
61.75,76.25,47.4,10
62.25,76.25,44.4,10
62.75,76.25,42.1,10
63.25,76.25,39.7,10
63.75,76.25,32.3,10
64.25,76.25,26.3,10
64.75,76.25,21.8,10
65.25,76.25,16.1,10
65.75,76.25,13.1,10
66.25,76.25,19.5,10
66.75,76.25,31.2,10
67.25,76.25,34.5,10
67.75,76.25,41,10
95.75,76.25,63.1,10
96.25,76.25,65.4,10
96.75,76.25,53.5,10
98.75,76.25,64.8,10
99.75,76.25,68.6,9
100.25,76.25,67.2,9
100.75,76.25,65.8,9
101.25,76.25,67.2,9
101.75,76.25,67.8,9
102.25,76.25,67.4,9
102.75,76.25,65.8,9
103.25,76.25,65.8,9
103.75,76.25,64.9,9
104.25,76.25,64.1,9
104.75,76.25,60.5,10
105.25,76.25,57.5,10
105.75,76.25,58.8,10
106.25,76.25,61.6,10
106.75,76.25,63,10
107.25,76.25,61.2,10
107.75,76.25,57.9,10
108.25,76.25,59.1,10
108.75,76.25,58.8,10
109.25,76.25,56.3,10
109.75,76.25,59,10
110.25,76.25,60.4,9
110.75,76.25,58.1,9
111.25,76.25,57.8,9
111.75,76.25,55.5,9
112.25,76.25,51.4,9
113.25,76.25,49.4,9
-121.25,75.75,0,10
-118.75,75.75,0.2,10
-118.25,75.75,0,10
-116.75,75.75,0,10
-116.25,75.75,0,10
-115.75,75.75,0,10
-115.25,75.75,0,10
-114.75,75.75,0,10
-114.25,75.75,0,10
-113.75,75.75,0,10
-113.25,75.75,0,10
-112.75,75.75,0,10
-112.25,75.75,0,10
-111.75,75.75,0,10
-108.75,75.75,0,10
-108.25,75.75,0,10
-107.75,75.75,1.6,10
-107.25,75.75,0.4,10
-106.75,75.75,1.2,10
-106.25,75.75,0.6,10
-105.75,75.75,2.2,10
-101.75,75.75,0.1,10
-101.25,75.75,0.4,10
-100.75,75.75,0,10
-100.25,75.75,0,10
-99.75,75.75,0,10
-99.25,75.75,0,10
-98.75,75.75,0,10
-98.25,75.75,0,10
-91.75,75.75,7.4,10
-91.25,75.75,8.9,10
-90.75,75.75,9.1,10
-90.25,75.75,15.2,10
-89.75,75.75,22.2,10
-89.25,75.75,16.9,10
-83.75,75.75,19.4,10
-82.75,75.75,10.8,10
-82.25,75.75,2.8,10
-81.75,75.75,4.7,10
-81.25,75.75,16.8,10
58.75,75.75,42,10
59.25,75.75,32.4,10
59.75,75.75,26.9,10
60.25,75.75,19.7,10
60.75,75.75,8.1,10
61.25,75.75,13.5,10
61.75,75.75,8.9,10
62.25,75.75,17.6,10
62.75,75.75,27.2,10
63.25,75.75,37.8,10
63.75,75.75,40.3,10
64.25,75.75,41.2,10
92.25,75.75,64.3,10
92.75,75.75,65.6,10
93.25,75.75,62.7,10
93.75,75.75,59.6,10
94.25,75.75,58.1,10
94.75,75.75,58,10
95.25,75.75,59.8,10
95.75,75.75,64.4,10
96.25,75.75,65.4,10
96.75,75.75,64.1,10
97.25,75.75,61.9,10
97.75,75.75,61.8,10
98.25,75.75,63.2,10
98.75,75.75,65.5,9
99.25,75.75,67.4,9
99.75,75.75,68.1,9
100.25,75.75,67.9,9
100.75,75.75,67.8,9
101.25,75.75,67.9,9
101.75,75.75,68,9
102.25,75.75,66.6,9
102.75,75.75,64.2,10
103.25,75.75,62.7,10
103.75,75.75,62.5,10
104.25,75.75,63.6,10
104.75,75.75,61.1,10
105.25,75.75,57.4,10
105.75,75.75,54.8,10
106.25,75.75,53.8,10
106.75,75.75,54.3,10
107.25,75.75,53.3,10
107.75,75.75,47.8,10
108.25,75.75,49.1,10
108.75,75.75,49.9,10
109.25,75.75,51.1,10
109.75,75.75,51.8,10
110.25,75.75,52.3,10
110.75,75.75,57.5,10
111.25,75.75,59.7,10
111.75,75.75,60.3,9
112.25,75.75,58.9,9
113.25,75.75,50,9
113.75,75.75,50.8,9
135.75,75.75,57.6,9
137.25,75.75,51,9
137.75,75.75,55,9
138.25,75.75,54.1,9
138.75,75.75,52.2,9
139.25,75.75,52.1,9
139.75,75.75,53.5,9
140.25,75.75,44,9
141.25,75.75,46.9,9
141.75,75.75,46.4,9
142.25,75.75,40.1,9
142.75,75.75,37.1,9
143.25,75.75,36.4,9
143.75,75.75,36.6,9
144.25,75.75,43,9
-117.25,75.25,0.3,10
-116.75,75.25,0,10
-116.25,75.25,0,10
-115.75,75.25,0,10
-115.25,75.25,0.9,10
-114.75,75.25,0.2,10
-114.25,75.25,0,10
-113.75,75.25,0,10
-113.25,75.25,0,10
-112.75,75.25,0.3,10
-112.25,75.25,0.5,10
-111.75,75.25,0,10
-110.75,75.25,0,10
-110.25,75.25,0,10
-109.75,75.25,0,10
-109.25,75.25,0,10
-108.75,75.25,0,10
-108.25,75.25,0.2,10
-107.75,75.25,0.4,10
-107.25,75.25,0,10
-106.75,75.25,0,10
-106.25,75.25,3.6,10
-104.25,75.25,0,10
-103.75,75.25,0,10
-99.75,75.25,0,10
-99.25,75.25,0,10
-98.75,75.25,0,10
-98.25,75.25,0,10
-95.75,75.25,1.1,10
-95.25,75.25,0,10
-94.75,75.25,0,10
-94.25,75.25,0.6,10
-93.75,75.25,3.3,10
-92.25,75.25,9,10
-91.75,75.25,8.5,10
-91.25,75.25,12.7,10
-90.75,75.25,6.4,10
-90.25,75.25,10.2,10
-89.75,75.25,7.2,10
-89.25,75.25,5.2,10
-88.75,75.25,17.2,10
-88.25,75.25,18.5,10
-87.75,75.25,18.3,10
-87.25,75.25,19.7,10
-86.75,75.25,19.8,10
-86.25,75.25,24,10
-85.75,75.25,17.2,10
-85.25,75.25,10.5,10
-84.75,75.25,5,10
-84.25,75.25,1.6,10
-83.75,75.25,1.1,10
-83.25,75.25,0,10
-82.75,75.25,0,10
-82.25,75.25,0,10
-81.75,75.25,0,10
