"Crop_name","ISO","Continent","Manure_N_Mg"
"alfalfa","MOZ","AFR",0.266714650956498
"alfalfa","MRT","AFR",0
"alfalfa","MUS","AFR",0
"alfalfa","MWI","AFR",0
"alfalfa","MYS","ASI",0
"alfalfa","NAM","AFR",0
"alfalfa","NCL","OCE",0
"alfalfa","NER","AFR",0
"alfalfa","NGA","AFR",0
"alfalfa","NIC","LAM",0
"alfalfa","NLD","EU",179.728439954377
"alfalfa","NOR","EUR",0
"alfalfa","NPL","ASI",0
"alfalfa","NZL","OCE",6460.54840382491
"alfalfa","OMN","ASI",720.575012938663
"alfalfa","PAK","ASI",0
"alfalfa","PAN","LAM",0
"alfalfa","PER","LAM",6164.17777886866
"alfalfa","PHL","ASI",0
"alfalfa","PNG","OCE",0
"alfalfa","POL","EU",10.5954617355783
"alfalfa","PRI","LAM",0
"alfalfa","PRK","ASI",0
"alfalfa","PRT","EU",0.365729243048234
"alfalfa","PRY","LAM",1.36768527147582
"alfalfa","PYF","OCE",0
"alfalfa","QAT","ASI",0
"alfalfa","ROU","EU",9754.15763069373
"alfalfa","RoW","ROW",859.745957098908
"alfalfa","RUS","ASI",0
"alfalfa","RWA","AFR",0
"alfalfa","SAU","ASI",43991.3877951341
"alfalfa","SDN","AFR",0
"alfalfa","SEN","AFR",0
"alfalfa","SGP","ASI",0
"alfalfa","SLB","OCE",0
"alfalfa","SLE","AFR",0
"alfalfa","SLV","LAM",0
"alfalfa","SOM","AFR",0
"alfalfa","SRB","EUR",6154.37365161163
"alfalfa","SSD","AFR",0
"alfalfa","STP","AFR",0
"alfalfa","SUR","LAM",0
"alfalfa","SVK","EU",3855.26363930988
"alfalfa","SVN","EU",248.746399680353
"alfalfa","SWE","EU",0
"alfalfa","SWZ","AFR",0.292308979659475
"alfalfa","SYR","ASI",177.998361939216
"alfalfa","TCD","AFR",0
"alfalfa","TGO","AFR",0
"alfalfa","THA","ASI",0
"alfalfa","TJK","ASI",0
"alfalfa","TKM","ASI",0.572817698614817
"alfalfa","TLS","ASI",0
"alfalfa","TTO","LAM",0
"alfalfa","TUN","AFR",0.0286826718448997
"alfalfa","TUR","EUR",12433.0402822043
"alfalfa","TWN","ASI",0
"alfalfa","TZA","AFR",0
"alfalfa","UGA","AFR",0
"alfalfa","UKR","EUR",28.6429820150692
"alfalfa","URY","LAM",0
"alfalfa","USA","NAM",580235.098127716
"alfalfa","UZB","ASI",0
"alfalfa","VCT","LAM",0
"alfalfa","VEN","LAM",0
"alfalfa","VNM","ASI",0
"alfalfa","VUT","OCE",0
"alfalfa","WSM","OCE",0
"alfalfa","YEM","ASI",624.036181726564
"alfalfa","ZAF","AFR",9531.04716228075
"alfalfa","ZMB","AFR",0
"alfalfa","ZWE","AFR",0.0296533653857475
"almond","AFG","ASI",0.72023033956175
"almond","AGO","AFR",0
"almond","ALB","EUR",0
"almond","ARE","ASI",1.81197156043117
"almond","ARG","LAM",0.0675612999213277
"almond","ARM","ASI",0.8409450027544
"almond","ATG","LAM",0
"almond","AUS","OCE",100.802345723832
"almond","AUT","EU",0.00142576006140592
"almond","AZE","ASI",8.18380978464873
"almond","BDI","AFR",0
"almond","BEL","EU",0.0978028338913432
"almond","BEN","AFR",0.00171261152496217
"almond","BFA","AFR",20.52046928053
"almond","BGD","ASI",0
"almond","BGR","EU",4.11068136948008
"almond","BHR","ASI",0
"almond","BHS","LAM",0
"almond","BIH","EUR",0.740325423914545
"almond","BLR","EUR",0.00264336379267267
"almond","BLZ","LAM",0
"almond","BOL","LAM",0.000538771321230626
"almond","BRA","LAM",4.06580065102994e-05
"almond","BRB","LAM",0
"almond","BRN","ASI",0
"almond","BWA","AFR",0
"almond","CAF","AFR",0
"almond","CAN","NAM",0
"almond","CHE","EUR",0.00384531801445195
"almond","CHL","LAM",6.32913616512773
"almond","CHN","ASI",570.633544727301
"almond","CIV","AFR",0.0183279035892868
"almond","CMR","AFR",0
"almond","COD","AFR",0
"almond","COG","AFR",0
"almond","COL","LAM",0
"almond","CPV","AFR",0
"almond","CRI","LAM",0
"almond","CUB","LAM",0
"almond","CYP","EU",0
"almond","CZE","EU",0
"almond","DEU","EU",0.0505457658817681
"almond","DJI","AFR",0
"almond","DMA","LAM",0
"almond","DNK","EU",0
"almond","DOM","LAM",0
"almond","DZA","AFR",813.866080888926
"almond","ECU","LAM",0
"almond","EGY","AFR",0
"almond","ERI","AFR",0
"almond","ESP","EU",38938.9412339069
"almond","EST","EU",0
"almond","ETH","AFR",0
"almond","FIN","EU",0
"almond","FJI","OCE",0
"almond","FRA","EU",101.300460326671
"almond","GAB","AFR",0
"almond","GBR","EU",0
"almond","GEO","ASI",14.0310061236914
"almond","GHA","AFR",0.0324702776426298
"almond","GIN","AFR",0
"almond","GMB","AFR",0
"almond","GNB","AFR",0
"almond","GRC","EU",2766.02767315217
"almond","GRD","LAM",0
"almond","GTM","LAM",0
"almond","GUY","LAM",0
"almond","HND","LAM",0
"almond","HRV","EU",63.1754732268858
"almond","HTI","LAM",0
"almond","HUN","EU",11.5442507652143
"almond","IDN","ASI",0
"almond","IND","ASI",2.7495676180971
"almond","IRL","EU",0
"almond","IRN","ASI",1450.42895423655
"almond","IRQ","ASI",2.78900157291448
"almond","ISL","EUR",0
"almond","ISR","ASI",663.018480162755
"almond","ITA","EU",7223.4311589019
"almond","JAM","LAM",0
"almond","JOR","ASI",59.9288592807172
"almond","JPN","ASI",0
"almond","KAZ","ASI",0.388280146087835
"almond","KEN","AFR",0
"almond","KGZ","ASI",12.5727849386225
"almond","KHM","ASI",0
"almond","KIR","OCE",0
"almond","KNA","LAM",0
"almond","KOR","ASI",0
"almond","KWT","ASI",0
"almond","LAO","ASI",0.00781597504031126
"almond","LBN","ASI",736.553551908877
"almond","LBR","AFR",0
"almond","LBY","AFR",740.616040589497
"almond","LCA","LAM",0
"almond","LKA","ASI",0
"almond","LSO","AFR",0
"almond","LTU","EU",0
"almond","LUX","EU",0
"almond","LVA","EU",0
"almond","MAR","AFR",14134.4704794555
"almond","MDA","EUR",2.94418215785485
"almond","MDG","AFR",0
"almond","MDV","ASI",0
"almond","MEX","LAM",0.0437383515336772
"almond","MKD","EUR",0.843023615981714
"almond","MLI","AFR",0.0168431396364732
"almond","MLT","EU",0
"almond","MMR","ASI",0.00222284997743684
"almond","MNE","EUR",0.000854178740925307
"almond","MNG","ASI",0.00532115799446543
"almond","MOZ","AFR",0.0250857068112219
"almond","MRT","AFR",0
"almond","MUS","AFR",0
"almond","MWI","AFR",0
"almond","MYS","ASI",0
"almond","NAM","AFR",0
"almond","NCL","OCE",0
"almond","NER","AFR",0.106475394168478
"almond","NGA","AFR",0
"almond","NIC","LAM",0
"almond","NLD","EU",0
"almond","NOR","EUR",0
"almond","NPL","ASI",0.204683266031891
"almond","NZL","OCE",0
"almond","OMN","ASI",0.300427709522733
"almond","PAK","ASI",894.472917644862
"almond","PAN","LAM",0
"almond","PER","LAM",0
"almond","PHL","ASI",0
"almond","PNG","OCE",0
"almond","POL","EU",0.0172421765973141
"almond","PRI","LAM",0
"almond","PRK","ASI",0.0586507594174
"almond","PRT","EU",2490.37956692076
"almond","PRY","LAM",4.39456789032312e-06
"almond","PYF","OCE",0
"almond","QAT","ASI",0
"almond","ROU","EU",0.0354070248122497
"almond","RoW","ROW",320.883153984847
"almond","RUS","ASI",0.650859548326077
"almond","RWA","AFR",0
"almond","SAU","ASI",0
"almond","SDN","AFR",0
"almond","SEN","AFR",0
"almond","SGP","ASI",0
"almond","SLB","OCE",0
"almond","SLE","AFR",0
"almond","SLV","LAM",0
"almond","SOM","AFR",0
"almond","SRB","EUR",0.186602295396876
"almond","SSD","AFR",0
"almond","STP","AFR",0
"almond","SUR","LAM",0
"almond","SVK","EU",0.0341959255697658
"almond","SVN","EU",0.330804098705372
"almond","SWE","EU",0
"almond","SWZ","AFR",16.9411154465932
"almond","SYR","ASI",1408.12143967577
"almond","TCD","AFR",0
"almond","TGO","AFR",0
"almond","THA","ASI",0
"almond","TJK","ASI",111.755207267817
"almond","TKM","ASI",33.6529379356005
"almond","TLS","ASI",0
"almond","TTO","LAM",0
"almond","TUN","AFR",2363.56753949025
"almond","TUR","EUR",34.0494780706299
"almond","TWN","ASI",0.00167740689276258
"almond","TZA","AFR",0
"almond","UGA","AFR",0
"almond","UKR","EUR",13.2892502902271
"almond","URY","LAM",0
"almond","USA","NAM",20789.6167136806
"almond","UZB","ASI",352.86245723471
"almond","VCT","LAM",0
"almond","VEN","LAM",0
"almond","VNM","ASI",0.0636654182171408
"almond","VUT","OCE",0
"almond","WSM","OCE",0
"almond","YEM","ASI",1.4952533983606
"almond","ZAF","AFR",0.0692185253615637
"almond","ZMB","AFR",0
"almond","ZWE","AFR",0
"aniseetc","AFG","ASI",0.0570541935779586
"aniseetc","AGO","AFR",0
"aniseetc","ALB","EUR",0
"aniseetc","ARE","ASI",0
"aniseetc","ARG","LAM",0
"aniseetc","ARM","ASI",0.336873370864227
"aniseetc","ATG","LAM",0
"aniseetc","AUS","OCE",0
"aniseetc","AUT","EU",0.00852867380566067
"aniseetc","AZE","ASI",1.28827013607455
"aniseetc","BDI","AFR",0
"aniseetc","BEL","EU",0
"aniseetc","BEN","AFR",0
"aniseetc","BFA","AFR",0
"aniseetc","BGD","ASI",6.73219462749943
"aniseetc","BGR","EU",357.345576307741
"aniseetc","BHR","ASI",0
"aniseetc","BHS","LAM",0
"aniseetc","BIH","EUR",0
"aniseetc","BLR","EUR",0
"aniseetc","BLZ","LAM",0.0397409629807381
"aniseetc","BOL","LAM",0
"aniseetc","BRA","LAM",0
"aniseetc","BRB","LAM",0
"aniseetc","BRN","ASI",0
"aniseetc","BWA","AFR",0
"aniseetc","CAF","AFR",0
"aniseetc","CAN","NAM",18.6660858599759
"aniseetc","CHE","EUR",0
"aniseetc","CHL","LAM",0
"aniseetc","CHN","ASI",304.769989186709
"aniseetc","CIV","AFR",0
"aniseetc","CMR","AFR",0
"aniseetc","COD","AFR",0
"aniseetc","COG","AFR",0
"aniseetc","COL","LAM",0
"aniseetc","CPV","AFR",0
"aniseetc","CRI","LAM",0
"aniseetc","CUB","LAM",0
"aniseetc","CYP","EU",0
"aniseetc","CZE","EU",0
"aniseetc","DEU","EU",0
"aniseetc","DJI","AFR",0
"aniseetc","DMA","LAM",0
"aniseetc","DNK","EU",0
"aniseetc","DOM","LAM",0
"aniseetc","DZA","AFR",2.36043389490261
"aniseetc","ECU","LAM",0
"aniseetc","EGY","AFR",814.5441629064
"aniseetc","ERI","AFR",0
"aniseetc","ESP","EU",0
"aniseetc","EST","EU",0
"aniseetc","ETH","AFR",0
"aniseetc","FIN","EU",0
"aniseetc","FJI","OCE",0
"aniseetc","FRA","EU",0
"aniseetc","GAB","AFR",0
"aniseetc","GBR","EU",0
"aniseetc","GEO","ASI",0.0906464889868223
"aniseetc","GHA","AFR",0
"aniseetc","GIN","AFR",0
"aniseetc","GMB","AFR",0
"aniseetc","GNB","AFR",0
"aniseetc","GRC","EU",0.964824058454815
"aniseetc","GRD","LAM",0
"aniseetc","GTM","LAM",25.3165095744855
"aniseetc","GUY","LAM",0
"aniseetc","HND","LAM",0
"aniseetc","HRV","EU",0.049740786007012
"aniseetc","HTI","LAM",0
"aniseetc","HUN","EU",63.4973027511214
"aniseetc","IDN","ASI",0
"aniseetc","IND","ASI",11091.2157109586
"aniseetc","IRL","EU",0
"aniseetc","IRN","ASI",420.138553667564
"aniseetc","IRQ","ASI",4.38659479054699
"aniseetc","ISL","EUR",0
"aniseetc","ISR","ASI",39.2643649225064
"aniseetc","ITA","EU",0
"aniseetc","JAM","LAM",0
"aniseetc","JOR","ASI",0
"aniseetc","JPN","ASI",0
"aniseetc","KAZ","ASI",0
"aniseetc","KEN","AFR",0
"aniseetc","KGZ","ASI",0
"aniseetc","KHM","ASI",0.174191945532389
"aniseetc","KIR","OCE",0
"aniseetc","KNA","LAM",0
"aniseetc","KOR","ASI",0
"aniseetc","KWT","ASI",0
"aniseetc","LAO","ASI",0
"aniseetc","LBN","ASI",0.0605057651564421
"aniseetc","LBR","AFR",0
"aniseetc","LBY","AFR",0
"aniseetc","LCA","LAM",0
"aniseetc","LKA","ASI",0
