polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test
BRN,Brunei Darussalam,26.0,26.0,BRN,Brunei Darussalam,FALSE,Brunei Darussalam,Brunei,Brunei Darussalam,26.0,Brunei Darussalam,96,96,15,TRUE,26.0,NA,South East Asia,1.0,Brunei Darussalam,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other
BGR,Bulgaria,27.0,27.0,BGR,Bulgaria,TRUE,Bulgaria,Bulgaria,Bulgaria,27.0,Bulgaria,100,100,10,TRUE,27.0,BG,Eastern Europe,1.0,Bulgaria,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Emerging,Annex_I,Eastern Europe,Europe,mech,Europe
BFA,Burkina Faso,229.0,233.0,BFA,Burkina Faso,FALSE,Burkina Faso,Burkina Faso,,233.0,Burkina Faso,854,854,6,TRUE,233.0,NA,Western Africa,1.0,Burkina Faso,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other
BDI,Burundi,29.0,29.0,BDI,Burundi,FALSE,Burundi,Burundi,,29.0,Burundi,108,108,7,TRUE,29.0,NA,Eastern Africa,1.0,Burundi,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
CPV,Cabo Verde,35.0,35.0,CPV,Cabo Verde,FALSE,Cabo Verde,Cape Verde,,35.0,Cape Verde,132,132,6,TRUE,35.0,NA,Western Africa,1.0,Cape Verde,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other
KHM,Cambodia,112.0,115.0,KHM,Cambodia,FALSE,Cambodia,Cambodia,Cambodia,115.0,Cambodia,116,116,15,TRUE,115.0,NA,South East Asia,1.0,Cambodia,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other
CMR,Cameroon,32.0,32.0,CMR,Cameroon,FALSE,Cameroon,Cameroon,Cameroon,32.0,Cameroon,120,120,6,TRUE,32.0,NA,Western Africa,1.0,Cameroon,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
CAN,Canada,33.0,33.0,CAN,Canada,FALSE,Canada,Canada,Canada,33.0,Canada,124,124,1,TRUE,33.0,NA,Canada,1.0,Canada,Northern America,North America and Oceania,Northern America,Northern America,Americas,Americas,Northern America,Northern America,Advanced,Annex_I,Northern America,NAME,mech,Other
CAF,Central African Republic,37.0,37.0,CAF,Central African Republic,FALSE,Central African Republic,Central African Republic,,37.0,Central African Republic,140,140,6,TRUE,37.0,NA,Western Africa,1.0,Central African Republic,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
TCD,Chad,39.0,39.0,TCD,Chad,FALSE,Chad,Chad,,39.0,Chad,148,148,6,TRUE,39.0,NA,Western Africa,1.0,Chad,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
