item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
Palm oil,257,Palm Oil,2577.0,Primary crops,,,Permanent crops,Palm oil,,,,,,,,,,,
Oil of palm kernel,258,Palmkernel Oil,2576.0,Crop products,,,,Palm oil,,,,,,,,,,,
Olives,260,Olives (including preserved),2563.0,Primary crops,,,Permanent crops,Olive,,Olives,Oil_Crops_olives,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Olive,c3,per
Olive oil,261,Olive Oil,2580.0,Crop products,,,,Olive oil,,,,,,,,,,c3,per
Karite nuts (sheanuts),263,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Nuts nes,,Nuts_nes,Oil_Crops_fruits,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
Castor oil seeds,265,"Oilcrops, Other",2570.0,Primary crops,,,Castor Beans,"Oilcrops, other",,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Sunflower seed,267,Sunflower seed,2557.0,Primary crops,,,Sunflower Seed,Sunflower seed,,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
"Sunflower-seed oil, crude",268,Sunflowerseed Oil,2573.0,Crop products,,,,Sunflowerseed oil,,,,,,,,,,c3,per
Rape or colza seed,270,Rape and Mustardseed,2558.0,Primary crops,,,"Rapeseed, oil crops",Rape,,Rapeseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
"Rapeseed or canola oil, crude",271,Rape and Mustard Oil,2574.0,Crop products,,,,"Oilcrops oil, other",,,,,,,,,,c3,per
