Code,Name_biomass,Equiv,Category,BG_Biomass_kgDM_ha,Root_Shoot_ratio,Product_kgDM_kgFM,Residue_kgDM_kgFM,Conventional_kgDM_ha,Organic_kgDM_ha,GE_product_edible_portion_MJ_kgFM,GE_product_residue_MJ_kgFM,GE_product_MJ_kgFM,GE_residue_MJ_kg,kg_product_kg_aerial_biomass,kg_residue_kg_aerial_biomass_FM,kg_residue_kg_product_FM,Carcass_to_LW,Edible_portion,N_kgN_kgFM,Lipids_g_kgFM,Carbohydrates_g_kgFM,Calcium_mg_kgFM,VitaminA_microg_kgFM,Edible_kgDM_kgFM,Edible_kgC_kgFM,Edible_N_kgFM,Edible_kgP_kgFM,Edible_K_kgFM,NonEdible_kgDM_kgFM,NonEdible_kgC_kgFM,NonEdible_kgN_kgFM,NonEdible_kgP_kgFM,NonEdible_kgK_kgFM,Product_kgN_kgDM,Product_kgP_kgDM,Product_kgK_kgDM,Product_kgC_kgDM,Residue_kgN_kgDM,Residue_kgP_kgDM,Residue_kgK_kgDM,Residue_kgC_kgDM,Residue_humified_kgC_kgC,MgDM_m3,Root_kgC_kgDM,Root_humified_kgC_kgC,Root_mass_kgC_kgDM,Rhizodeposits_mass_kgC_kgDM,Residue_C_N,Root_kgN_kgDM,GE_Roots_MJ_kgDM,Rhizodeposits_N_kgN_kgRootN,Fiber_g_kgFM,SFA_g_kgFM,MUFA_g_kgFM,PUFA_g_kgFM,PUFA_n3_g_kgFM,Iron_mg_kgFM,Zinc_mg_kgFM,Magnesium_mg_kgFM,Cadmium_microg_kgFM,VitaminB12_microg_kgFM,VitaminD_microg_kgFM,Folate_microg_kgFM,VitaminC_mg_kgFM,VitaminE_mg_kgFM,Flavonoids_mg_kgFM,Carotenoids_mg_kgFM,
,Other crop residues,,Other residues,,,0.8996666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.0007777777777777778,0.015000000000000001,,,,,,,,,,,,,0.0,,0.7,,,,,,,,,,,,,,,,,
242,"Groundnuts, with shell",,Oilseeds,,0.07,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.33003300330033003,0.66996699669967,2.03,,0.7,0.0432,490.0,85.0,610.0,0.0,,,,,,,,,,,0.04715299254138621,0.004999194581928661,0.012371095488735356,0.6,0.016,0.0007777777777777778,0.015000000000000001,0.43749765209281005,0.11534666666666667,,0.747070446914437,0.17824592074592077,0.4527699678269315,0.2943004790875055,,0.02628151569022647,17.5728,0.7,81.0,67.5,231.4,131.9,0.4,25.0,35.0,2100.0,36.2,0.0,0.0,1100.0,0.0,109.39999999999999,2.0,0.5,
191,Chickpea,,Legumes,,0.08,0.9440000000000001,0.893,232.075,873.3382333333333,,,15.762,15.692510400000002,0.37037037037037046,0.6296296296296295,1.7,,1.0,0.03104,50.0,550.0,1450.0,320.0,,,,,,,,,,,0.03288135593220339,0.004999194581928661,0.012371095488735356,0.46,0.0092,0.0007777777777777778,0.015000000000000001,0.44,0.11534666666666667,,0.6971830985915493,0.17824592074592077,0.4225352112676056,0.2746478873239437,,0.01797087256748274,17.5728,0.7,149.70000000000002,4.3,18.0,28.1,0.0,68.0,20.0,1220.0,4.39,0.0,0.0,1850.0,41.0,31.0,225.0,1.5,
236,Soyabeans,Beans,Oilseeds,3330.8333333333335,0.3885442758302349,0.86,0.8856666666666667,232.075,873.3382333333333,,,18.197,15.563643200000001,0.3493159956160843,0.6506840043839157,1.8627375000000002,,1.0,0.0608,12.24821973550356,459.30824008138353,113.73346897253306,0.0,,,,,,,,,,,0.07069767441860465,0.006229143492769745,0.01890989988876529,0.52,0.008,0.0007777777777777778,0.015000000000000001,0.43116666666666664,0.11534666666666667,,0.766425,0.17824592074592077,0.4645,0.301925,,0.029901300562347983,17.5728,0.7,42.0,7.9,13.0,32.0,13.5,35.5,9.9,650.0,4.49,0.0,0.0,1650.0,290.0,1.0,1000.0,15.0,
201,Lentils,,Legumes,,0.2879694022908921,0.8965000000000001,0.9279999999999999,232.075,873.3382333333333,,,15.356,16.3075584,0.3246753246753247,0.6753246753246753,2.08,,1.0,0.03808,18.0,540.0,560.0,100.0,,,,,,,,,,,0.04247629670942554,0.004659090909090909,0.010454545454545454,0.46,0.0127,0.0007777777777777778,0.015000000000000001,0.415,0.11534666666666667,,0.6989966555183946,0.17824592074592077,0.4236343366778149,0.2753623188405797,,0.02236762880176154,17.572800000000004,0.7,97.0,1.7000000000000002,2.2,5.5,0.0,68.7,39.0,743.1999999999999,4.39,0.0,0.0,1171.0,17.0,9.0,275.0,0.8,
210,Lupin,Lentils,Legumes,,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3003003003003003,0.6996996996996997,2.33,,1.0,0.0389153671686187,18.394868934746235,551.8460680423871,572.2848113032162,102.19371630414575,,,,,,,,,,,0.053450937155457554,0.0038588754134509366,0.009371554575523704,0.4744444444444445,0.008,0.0007777777777777778,0.015000000000000001,0.477,0.11534666666666667,,0.80355,0.17824592074592077,0.487,0.31655,,0.02164893007671398,17.5728,0.7,165.0,4.0,22.0,24.0,0.0,43.6,47.5,1980.0,4.39,0.0,0.0,3550.0,0.0,6.0,375.0,3.0,
187,Pea,,Legumes,,0.08,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.385,15.8096624,0.3683207693256648,0.6316792306743352,1.7150247373528154,,1.0,0.03456,23.0,560.0,720.0,420.0,,,,,,,,,,,0.03741203178206584,0.004540295119182748,0.011918274687854712,0.46,0.008,0.0007777777777777778,0.015000000000000001,0.457,0.11534666666666667,,0.7321383742911154,0.17824592074592077,0.4437202268431002,0.28841814744801514,,0.018833062173401395,17.5728,0.7,167.0,1.5,1.3,0.5,0.0,15.0,35.0,1230.0,4.49,0.0,0.0,780.0,180.0,1.0,175.0,4.5,
181,Fava bean,,Legumes,,0.6033333333333334,0.9153333333333334,0.8859999999999999,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3902442223185971,0.6097557776814029,1.5624978995424954,,1.0,0.0368,20.0,560.0,1150.0,420.0,,,,,,,,,,,0.04420091324200913,0.005707762557077626,0.013127853881278538,0.46,0.008,0.0015,0.015000000000000001,0.43749765209281005,0.11534666666666667,,0.7260295876544434,0.17824592074592077,0.4400179319117839,0.2860116557426595,,0.022127197235350858,17.84386275395034,0.7,42.0,0.5,0.4,2.0,0.0,17.0,7.0,280.0,4.39,0.0,0.0,780.0,240.0,0.0,175.0,2.0,
205,Vetch,Lentils,Legumes,,0.2879694022908921,0.9,0.9109999999999999,232.075,873.3382333333333,,,18.7514328,16.0088208,0.44576523031203563,0.5542347696879644,1.2433333333333334,,1.0,0.03822866703848299,18.07027328499721,542.1081985499163,562.186279977691,100.39040713887339,,,,,,,,,,,0.03733333333333333,0.005,0.010444444444444444,0.44,0.008,0.0007777777777777778,0.015000000000000001,0.43876947720652976,0.11534666666666667,,0.7738499999999999,0.17824592074592077,0.469,0.30485,,0.02107578008915304,17.5728,0.7,130.0,0.0,0.0,0.0,0.0,0.0,25.0,740.0,4.49,0.0,0.0,0.0,0.0,0.0,300.0,2.5,
176,Beans,,Legumes,,0.2879694022908921,0.983,0.871,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.7150247373528154,,1.0,0.0304,14.0,525.0,130.0,0.0,,,,,,,,,,,0.030925737538148524,0.004999194581928661,0.012371095488735356,0.46,0.008,0.0014000000000000002,0.011399999999999999,0.43635,0.11534666666666667,,0.75735,0.17824592074592077,0.459,0.29835,,0.01644402528740914,18.15116234213548,0.7,44.0,2.8000000000000003,1.0,7.0,0.0,51.900000000000006,23.0,390.0,4.49,0.0,0.0,3080.0,0.0,0.5,200.0,2.0,
