item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Freshwater Fish,2761.0,p2761,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Freshwater Fish,Fish,PESCADO PROMEDIO,Feed
Demersal Fish,2762.0,p2762,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Demersal Fish,Fish,PESCADO PROMEDIO,Other_uses
"Marine Fish, Other",2764.0,p2764,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,"Marine Fish, Other",Fish,PESCADO PROMEDIO,Other_uses
"Aquatic Animals, Others",2769.0,p2769,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,"Aquatic Animals, Others",Fish,PESCADO PROMEDIO,Other_uses
Aquatic Plants,2775.0,p2775,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,0,Fish,PESCADO PROMEDIO,Food
"Fish, Body Oil",2781.0,p2781,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,"Fish, body oil",Fish,OLEINAS PESCADO,
Wood,3004.0,p3004,p131,Forestry,tonnes,Forestry,,,Wood,Firewood,Average wood,Wood,0,
Fallow,3003.0,p3003,p129,Fallowing,tonnes,Grass,grass,grass,Grassland,Fallow,Fallow,Foragge,Ray-grass verde TERCERA,
Grassland,3000.0,p3000,p130,Grassland production,tonnes,Grass,grass,grass,Grassland,Grass,Grass,Foragge,Ray-grass verde TERCERA,
Temporary grassland,3002.0,p3002,p121,Temporary grassland production,tonnes,Grass,grass,grass,Temporary grassland,Fodder_green,Meadows,Foragge,Ray-grass verde TERCERA,
"Cattle, dairy",960.0,p960,p099,Dairy cattle husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
"Cattle, non-dairy",961.0,p961,p085,Non-dairy Cattle husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Camels,1126.0,p1126,p094,Camels husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Game,1190.0,p1190,p113,Hunting,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Buffaloes,946.0,p946,p086,Buffaloes husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Turkeys,1079.0,p1079,p111,Other birds farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Asses,1107.0,p1107,p092,Asses husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Mules,1110.0,p1110,p093,Mules husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Goats,1016.0,p1016,p088,Goats husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Pigs,1049.0,p1049,p089,Pigs farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
"Rodents, other",1150.0,p1150,p097,"Rodents farming, other",1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Bees,1181.0,p1181,p114,Beekeeping,1000 Units,Livestock,,,Live animals,Live animals,,Live animals,,
Ducks,1068.0,p1068,p111,Other birds farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Sheep,976.0,p976,p087,Sheep husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
"Chickens, broilers",1053.0,p1053,p109,Broilers chickens farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
"Chickens, layers",1052.0,p1052,p110,Layers chickens farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,
Horses,1096.0,p1096,p091,Horses husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,Food
"Camelids, other",1157.0,p1157,p095,"Camelids husbandry, other",1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,Food
Rabbits and hares,1140.0,p1140,p096,Rabbits farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,Food
Animals live nes,1171.0,p1171,p112,Other animals husbandry,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,Food
Geese,1072.0,p1072,p111,Other birds farming,1000 Head,Livestock,,,Live animals,Live animals,,Live animals,,Food
"Fats, Animals, Raw",2737.0,p2737,p086,Buffaloes husbandry,tonnes,Livestock products,animals,animals,Animal fats,Animal fats,"Fats, animals, raw",Animal Fats,GRASA MEZCLA 5/9,Food
Eggs,2744.0,p2744,p110,Layers chickens farming,tonnes,Livestock products,animals,animals,Eggs,Eggs,Eggs,Eggs,HARINA HUEVO,Food
Wool (Clean Eq.),2746.0,p2746,p087,Sheep husbandry,tonnes,Livestock products,animals,animals,"Hides, skins, wool",Other animal products,Wool,Wool,0,Food
Hides and skins,2748.0,p2748,p086,Buffaloes husbandry,tonnes,Livestock products,animals,animals,"Hides, skins, wool",Other animal products,Hides and skins,Skins,0,Food
Silk,2747.0,p2747,p115,Silkworm breeding,tonnes,Livestock products,animals,animals,"Hides, skins, wool",Other animal products,Silk,Wool,0,Feed
Honey,2745.0,p2745,p114,Beekeeping,tonnes,Livestock products,animals,animals,Honey,Other animal products,Honey,Processed Food,0,Food
Mutton & Goat Meat,2732.0,p2732,p088,Goats husbandry,tonnes,Livestock products,animals,animals,Meat,Meat,Goat meat,Meat,CARNE PROMEDIO,Feed
"Offals, Edible",2736.0,p2736,p092,Asses husbandry,tonnes,Livestock products,animals,animals,Meat,Other animal products,"Offals, edible",Meat,CARNE PROMEDIO,Feed
Poultry Meat,2734.0,p2734,p109,Broilers chickens farming,tonnes,Livestock products,animals,animals,Meat,Meat,Chicken,Meat,CARNE PROMEDIO,Feed
Pigmeat,2733.0,p2733,p089,Pigs farming,tonnes,Livestock products,animals,animals,Meat,Meat,Pork meat,Meat,CARNE PROMEDIO,Feed
Meat Meal,2112.0,p2112,p125,Meat meal production,tonnes,Livestock products,animals,animals,Meat,Meat,Meat meal,Meat,CARNE PROMEDIO,Feed
Bovine Meat,2731.0,p2731,p086,Buffaloes husbandry,tonnes,Livestock products,animals,animals,Meat,Meat,Beef meat,Meat,CARNE PROMEDIO,Feed
"Meat, Other",2735.0,p2735,p092,Asses husbandry,tonnes,Livestock products,animals,animals,Meat,Meat,"Meat, other",Meat,CARNE PROMEDIO,Feed
"Butter, Ghee",2740.0,p2740,p116,Butter production,tonnes,Livestock products,animals,animals,Milk,Milk and products,"Butter, Ghee",Butter,CARNE PROMEDIO,Feed
Whey,2110.0,#N/A,#N/A,#N/A,tonnes,Livestock products,animals,animals,Milk,Milk and products,Whey,Milk,SUERO PROMEDIO,Feed
"Milk, lactation",2113.0,#N/A,#N/A,#N/A,tonnes,Livestock products,animals,animals,Milk,Lactation,"Milk, lactation",Milk,LECHE DESCREMADA,Food
Milk - Excluding Butter,2848.0,p2848,p086,Buffaloes husbandry,tonnes,Livestock products,animals,animals,Milk,Milk and products,Cow milk,Milk,LECHE DESCREMADA,Feed
Millet and products,2517.0,p2517,p007,Millet production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Millet,"Cereals, others",SORGO BLANCO,
Wheat and products,2511.0,p2511,p002,Wheat production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Wheat,Wheat,PROT. TRIGO HIDROLIZADO,
Rye and products,2515.0,p2515,p005,Rye production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Rye,"Cereals, others",CENTENO NACIONAL,
"Cereals, Other",2520.0,p2520,p009,"Cereals production, Other",tonnes,Primary crops,crops,crops,Cereals,Cereals,Canary grass,"Cereals, others",TRITICALE,
Barley and products,2513.0,p2513,p003,Barley production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Barley,Barley,CEBADA PROMEDIO,Processing
Sorghum and products,2518.0,p2518,p008,Sorghum production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Sorghum,Sorghum,SORGO BLANCO,Food
Oats,2516.0,p2516,p006,Oat production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Oats,"Cereals, others",AVENA,Food
Maize and products,2514.0,p2514,p004,Maize production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Maize,Maize,MAIZ NACIONAL,Processing
Rice and products,2807.0,p2807,p001,Rice production,tonnes,Primary crops,crops,crops,Cereals,Cereals,Rice,Rice,ARROZ PARTIDO,Processing
Tea (including mate),2635.0,p2635,p047,Tea production,tonnes,Primary crops,crops,crops,"Coffee, tea, cocoa",Spices,Tea,Tea,0,Processing
Cocoa Beans and products,2633.0,p2633,p046,Cocoa Beans production,tonnes,Primary crops,crops,crops,"Coffee, tea, cocoa",Spices,Cocoa beans,Cocoa,0,
Coffee and products,2630.0,p2630,p045,Coffee production,tonnes,Primary crops,crops,crops,"Coffee, tea, cocoa",Spices,Coffee,Coffee,0,
"Soft-Fibres, Other",2664.0,p2664,p055,"Soft-Fibres production, Other",tonnes,Primary crops,crops,crops,Fibre crops,Fibres,Flax fibre and tow,"Fibres, other",0,Processing
Cottonseed,2559.0,p2559,p025,Cotton production,tonnes,Primary crops,crops,crops,Fibre crops,Oilseeds,Cottonseed,Animal Feed Processed,SEMILLA ALGODON,Feed
Jute,2662.0,p2662,p053,Jute production,tonnes,Primary crops,crops,crops,Fibre crops,Fibres,"Fibres, other","Fibres, other",0,Feed
Jute-Like Fibres,2663.0,p2663,p054,Jute-Like Fibres production,tonnes,Primary crops,crops,crops,Fibre crops,Fibres,"Fibres, other","Fibres, other",0,Feed
Abaca,2666.0,p2666,p057,Abaca production,tonnes,Primary crops,crops,crops,Fibre crops,Fibres,"Fibres, other","Fibres, other",0,Feed
"Hard Fibres, Other",2667.0,p2667,p058,"Hard Fibres production, Other",tonnes,Primary crops,crops,crops,Fibre crops,Fibres,"Bastfibres, other","Fibres, other",0,Feed
Sisal,2665.0,p2665,p056,Sisal production,tonnes,Primary crops,crops,crops,Fibre crops,Fibres,"Fibres, other","Fibres, other",0,Feed
Cotton lint,2661.0,p2661,p025,Cotton production,tonnes,Primary crops,crops,crops,Fibre crops,Fibres,Cotton fiber,Cotton lint,0,Food
Fodder cereal and grasses,2000.0,p2000,p061,Fodder cereals and grasses production,tonnes,Primary crops,,residues,Fodder crops,Fodder_green,Brome,Foragge,CEBADA SILO PROMEDIO,Food
Fodder legumes,2001.0,p2001,p118,Fodder legumes production,tonnes,Primary crops,,residues,Fodder crops,Fodder_green,Alfalfa,Foragge,VEZA HENO PROMEDIO,Food
Fodder vegetables and roots,2002.0,p2002,p120,Fodder vegetables and roots production,tonnes,Primary crops,residues,residues,Fodder crops,Fodder_green,"Carrot, for fodder",Foragge,Ray-grass verde TERCERA,Food
Fodder mix,2003.0,p2003,p119,Fodder mix production,tonnes,Primary crops,,residues,Fodder crops,Fodder_green,Mixed swards,Foragge,Ray-grass verde TERCERA,Food
Groundnuts,2552.0,p2552,p022,Groundnuts production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,"Groundnuts, with shell",Groundnuts and other small nuts,HNA.GIRASOL 32,Processing
