Year,area,item_prod,item_cbs,item_cbs_crop,Name_biomass,Product_residue,Prod_ygpit_Mg,Area_ygpit_ha
1992,Netherlands,Barley,Barley and products,Barley and products,Barley,Product,204024,34068
1967,Suriname,Cocoa beans,Firewood,Cocoa Beans and products,Cocoa beans,Residue,237.34537037037035,NA
1987,Jordan,Apples,Apples and products,Apples and products,Apple,Product,892,1007
1977,Sierra Leone,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,60030.98883250001,NA
2019,Burkina Faso,Pomelos and grapefruits,Grapefruit and products,Grapefruit and products,Grapefruit,Product,257.5,17
1983,Central African Republic,Oranges,"Oranges, Mandarines","Oranges, Mandarines",Orange,Product,13200,3940.29850746269
1974,Belgium-Luxembourg,"Onions and shallots, green",Other crop residues,"Vegetables, Other",Onion,Residue,438.6820147451931,NA
2007,Myanmar,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,559654.7686154635,NA
1989,Algeria,"Onions and shallots, green","Vegetables, Other","Vegetables, Other",Onion,Product,150,15
2019,Serbia,Chicory roots,Other crop residues,"Vegetables, Other",Chicory roots,Residue,693.279489,NA
1983,Cambodia,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Other crop residues,"Roots, Other","Roots, other",Residue,5365.002459999999,NA
1990,Lesotho,Wheat,Straw,Wheat and products,Wheat,Residue,96256.62547195853,NA
1993,Netherlands,Apples,Firewood,Apples and products,Apple,Residue,159100.75217758614,NA
1990,Austria,"Broad beans and horse beans, dry","Pulses, Other and products","Pulses, Other and products",Fava bean,Product,30000,9800
2010,Austria,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,154105,2905
1969,Burkina Faso,Other pulses n.e.c.,"Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,15400,15000
1996,Gabon,"Other vegetables, fresh n.e.c.","Vegetables, Other","Vegetables, Other","Vegetables, other",Product,33000,5100
2014,Bulgaria,Grapes,Grapes and products (excl wine),Grapes and products (excl wine),Grapevine,Product,132731,31892
1984,Indonesia,Natural rubber in primary forms,Firewood,Rubber,Rubber,Residue,3369780.3132000007,NA
2008,Jamaica,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,2131,317
1961,Spain,Rye,Straw,Rye and products,Rye,Residue,406680.81999999995,NA
2010,Morocco,Asparagus,"Vegetables, Other","Vegetables, Other",Asparagus,Product,2410,427
1984,Mali,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,10000,1000
1994,Kazakhstan,Mixed Grasses and Legumes,Fodder mix,Fodder mix,Cereal-legume mixture,Product,40000000,4722796.22682696
2019,Zimbabwe,Cereals n.e.c.,Straw,"Cereals, Other",Cereals nes,Residue,5826.868300000001,NA
1963,Libya,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,1600,200
2006,Sierra Leone,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,942121.2052525,NA
2019,Sri Lanka,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,76845,6252
1975,France,Apricots,Firewood,"Fruits, Other",Apricot,Residue,16440.04833193617,NA
2020,Madagascar,"Pepper (Piper spp.), raw",Pepper,Pepper,"Spices, Other",Product,4498.19,8228
2004,Jordan,Millet,Straw,Millet and products,Millet,Residue,73.33333333333333,NA
2009,"China, mainland","Cloves (whole stems), raw",Cloves,Cloves,"Spices, Other",Product,900,848
2003,Spain,Cabbages,Other crop residues,"Vegetables, Other","Cabbage, Broccoli",Residue,231376.1238788171,NA
1975,Lao,Maize (corn),Maize and products,Maize and products,Maize,Product,28000,18000
1994,Italy,"Forage and silage, alfalfa",Other crop residues,Fodder legumes,Alfalfa,Residue,0,NA
2014,Ecuador,Sunflower seed,Other crop residues,Sunflower seed,Sunflower seed,Residue,311.3720096929825,NA
1982,Austria,Rye,Straw,Rye and products,Rye,Residue,343750.42883999995,NA
1968,Jordan,Sesame seed,Other crop residues,Sesame seed,"Oilcrops, other",Residue,1129.3929871974206,NA
