polity_name,start_year,end_year,population,notes
Niue Island,1900,1901,NA,annexed to New Zealand 1901-1938; Joint estimation New Zealand
Norfolk Island,1800,1901,NA,annexed to Australia; joint estimate with Australia
Palmyra Island,1889,1912,NA,1862-1898 Hawaii then USA; joint estimate with Hawaii
Pitcairn Island,1839,1938,NA,UK colony; joint estimation British settlement Oceania
Queensland,1859,1900,NA,Joint estimation with Australia; 1800-1858 part of New South Wales
Society Islands  (Tahiti),1844,1903,NA,independent Kingdom to 1844; French protectorate 1844-1881; then French colony joint estimate with French settlement Oceania
Solomon Islands,1885,1938,NA,German colony 1885-1900; British 1900-1938; Joint estimation with British settlement Oceania
South Australia,1838,1900,NA,Joint estimation with Australia
Tokelau Island,1877,1938,NA,British colony; administered New Zealand after 1926 Joint estimation with British Settlement Oceania
Tongan Islands,1800,1938,NA,Quasi independent kingdom; joit estimate with British settlment Oceania
US settlement Oceania,1859,1938,NA,NA
Van Diemen's Land (Tasmania),1828,1900,NA,Joint estimation with Australia; 1800-1825 New South Wales;
Victoria,1853,1900,NA,Joint estimation with Australia; 1800-1852 New South Wales;
Wake Island,1898,1938,NA,Joint estimation with US settlement Oceania
Wallis and Futuna Island,1842,1938,NA,Joint estimation with French Polinesia
Western Australia,1838,1900,NA,Joint estimation with Australia
Western Samoa,1900,1938,NA,German colony 1899-1915; New Zealand mandate; joint estimate with German colonies Oceania
