polity_name,polity_code
North Vietnam (1954-1975),VIE-1954-1975
North Yemen,F246-1918-1990
North Yemen (1918-1990),YEM-1918-1990
North Yemen (1990-2000),YEM-1990-2000
North and Central America,F336-1800-2025
Northern Africa,F5103-1800-2025
Northern Africa (excluding Sudan),F429-1800-2025
Northern America,F5203-1800-2025
Northern America and Europe,F5208-1800-2025
Northern Europe,F5402-1800-2025
Northern Mariana Islands,MNP-1991-2025
Norway,NOR-1800-2025
Nova Scotia  Cape Breton Isl.,NOV-1800-1866
Nyasaland Protectorate (Malawi),NYA-1891-2025
OECD,F5873-1800-2025
Oceania,F5500-1800-2025
Oceania excluding Australia and New Zealand,F5807-1800-2025
Oman,OMN-1800-2025
Ontario,ONT-1800-1866
Orange Free State,ORA-1848-1900
Orange Free State (to 1910),ORA-1800-1910
Ottoman Empire/Turkey,OTT-1800-2025
Pacific Islands Trust Territory,F164-1800-1990
Pakistan,PAK-1800-2025
Pakistan (1947-1949),PAK-1947-1949
Pakistan (1949-1971),PAK-1949-1971
Palau,PLW-1991-2025
Palestine,PSE-1999-2025
Palestine/Jordan,PAL-1918-2025
Palmyra Island,PAL-1889-1912
Panama,PAN-1906-2025
Panama (before Canal Zone),PAN-1800-1979
Papal States,PAP-1800-1870
Papua New Guinea,PNG-1800-2025
Paraguay,PRY-1811-2025
Paraguay (to 1938),PAR-1800-1938
Peru,PER-1825-2025
Peru (1909-1922),PER-1909-1922
Peru (1922-1942),PER-1922-1942
Peru (to 1909),PER-1800-1909
Philippines,PHL-1800-2025
Pitcairn,PCN-1839-2025
Poland,POL-1918-2025
Poland (1918-1919),POL-1918-1919
Poland (1919-1920),POL-1919-1920
Poland (1920-1921),POL-1920-1921
Poland (1921-1945),POL-1921-1945
Polynesia,F5504-1800-2025
Portugal,PRT-1800-2025
Portuguese India,POR-1800-2025
Prince Edward Island,PRI-1800-1866
Puerto Rico,PRI-1800-2025
Qatar,QAT-1800-2025
Queensland,QUE-1859-1900
Ras al Khaimah,RAS-1919-2025
