chaudhary_country_num,chaudhary_country,land_use_type,intensity,cf_mean,cf_lo,cf_hi
185,PAPUA_NEW_GUINEA,pasture,intense,1.3497182548264398e-12,1.1497668235417485e-12,1.5920821770765356e-12
185,PAPUA_NEW_GUINEA,crop,minimal,1.2077096194120956e-12,9.91876655040638e-13,1.4626144763792788e-12
185,PAPUA_NEW_GUINEA,crop,light,1.2748469624212018e-12,1.0337613281971906e-12,1.5443257878884434e-12
185,PAPUA_NEW_GUINEA,crop,intense,1.2863284407526169e-12,1.059475300193846e-12,1.5455499124869076e-12
186,PACIFIC_ISLANDS__PALAU_,pasture,minimal,1.1712416764860125e-11,9.170034703366261e-12,1.4237848608808643e-11
186,PACIFIC_ISLANDS__PALAU_,pasture,light,1.2621177777563297e-11,1.0228665570203061e-11,1.4958294733296573e-11
186,PACIFIC_ISLANDS__PALAU_,pasture,intense,1.342317509272415e-11,1.0589798551182043e-11,1.5908725593218196e-11
186,PACIFIC_ISLANDS__PALAU_,crop,minimal,1.173177143192881e-11,9.143837168749162e-12,1.424816855670059e-11
186,PACIFIC_ISLANDS__PALAU_,crop,light,1.2884617995322237e-11,9.941849556793893e-12,1.5501341928736966e-11
186,PACIFIC_ISLANDS__PALAU_,crop,intense,1.3087063615937277e-11,1.043164812578034e-11,1.5520181016849895e-11
187,GUINEA_BISSAU,pasture,minimal,1.347068821075216e-13,9.539730227707309e-14,1.9128766744799147e-13
187,GUINEA_BISSAU,pasture,light,1.4153957033073074e-13,1.0288078110105355e-13,1.9723476013913498e-13
187,GUINEA_BISSAU,pasture,intense,1.4772187527324357e-13,1.0534978474225623e-13,2.044244675781881e-13
187,GUINEA_BISSAU,crop,minimal,1.2940292580354334e-13,8.565295612354992e-14,1.8732908655680996e-13
187,GUINEA_BISSAU,crop,light,1.393587308265345e-13,9.289665535013241e-14,1.987225974098292e-13
187,GUINEA_BISSAU,crop,intense,1.4117075690661818e-13,9.722360446242866e-14,1.9888465406190124e-13
188,QATAR,pasture,minimal,1.0314324675181456e-14,6.785863006618749e-15,1.521795525320217e-14
188,QATAR,pasture,light,1.0801395791050136e-14,7.417396397066785e-15,1.5508535421615682e-14
188,QATAR,pasture,intense,1.1144894389142869e-14,7.612562754408356e-15,1.5769350507941064e-14
188,QATAR,crop,minimal,1.028951808978822e-14,6.469734510702767e-15,1.5267759239493047e-14
188,QATAR,crop,light,1.0912833857440577e-14,7.033084516640547e-15,1.5690196736839892e-14
188,QATAR,crop,intense,1.1001696306700527e-14,7.34981806873894e-15,1.5694815486221145e-14
189,REUNION,pasture,minimal,9.629323610945416e-12,8.405694195556501e-12,1.1063888086087999e-11
189,REUNION,pasture,light,9.76264488803374e-12,8.556984372760026e-12,1.1191105823321915e-11
189,REUNION,pasture,intense,9.880317833141587e-12,8.608608025064204e-12,1.1358932451830447e-11
189,REUNION,crop,minimal,8.52857850985047e-12,6.9274410452352725e-12,1.0306505687146937e-11
189,REUNION,crop,light,8.999125465143834e-12,7.2666103772590966e-12,1.0816504386511723e-11
189,REUNION,crop,intense,9.079326110985233e-12,7.474870400136758e-12,1.0824090696561354e-11
190,MARSHALL_ISLANDS,pasture,minimal,0.0,0.0,0.0
190,MARSHALL_ISLANDS,pasture,light,0.0,0.0,0.0
190,MARSHALL_ISLANDS,pasture,intense,0.0,0.0,0.0
190,MARSHALL_ISLANDS,crop,minimal,0.0,0.0,0.0
190,MARSHALL_ISLANDS,crop,light,0.0,0.0,0.0
190,MARSHALL_ISLANDS,crop,intense,0.0,0.0,0.0
191,ROMANIA,pasture,minimal,2.6059960073787843e-14,1.7040685960815883e-14,3.660351274081333e-14
191,ROMANIA,pasture,light,2.87026256550015e-14,1.9888835309834772e-14,3.891671053101418e-14
191,ROMANIA,pasture,intense,3.107889442177308e-14,2.0882203884768812e-14,4.203442395990201e-14
191,ROMANIA,crop,minimal,2.438154750188643e-14,1.50410746909002e-14,3.520165264425156e-14
191,ROMANIA,crop,light,2.8272843097267056e-14,1.7485397599964415e-14,3.9781570278188034e-14
191,ROMANIA,crop,intense,2.894477986267437e-14,1.9012567911084367e-14,3.985072292790441e-14
192,PHILIPPINES,pasture,minimal,2.186202973115416e-12,1.7928203952742261e-12,2.6218743217948917e-12
192,PHILIPPINES,pasture,light,2.2970526791727745e-12,1.9143418938823834e-12,2.7179630497194905e-12
192,PHILIPPINES,pasture,intense,2.394880533608312e-12,1.9557990796523813e-12,2.8447253647023525e-12
192,PHILIPPINES,crop,minimal,1.9886955398993384e-12,1.5188972739404367e-12,2.4888506340212667e-12
192,PHILIPPINES,crop,light,2.1858479515297264e-12,1.6530401167392296e-12,2.7071010405658373e-12
192,PHILIPPINES,crop,intense,2.219565583545913e-12,1.7353896655455e-12,2.7103678014263714e-12
193,PUERTO_RICO,pasture,minimal,6.447567003101878e-12,5.16495149561814e-12,7.969627091585467e-12
193,PUERTO_RICO,pasture,light,6.809796236635119e-12,5.551197313373907e-12,8.294959229152483e-12
193,PUERTO_RICO,pasture,intense,7.129474903011827e-12,5.682968955248816e-12,8.724143813338573e-12
193,PUERTO_RICO,crop,minimal,6.316940679353552e-12,4.934489363210433e-12,7.90912939564221e-12
193,PUERTO_RICO,crop,light,6.8220860803230924e-12,5.26393805709103e-12,8.499805858602626e-12
193,PUERTO_RICO,crop,intense,6.908615485009289e-12,5.466164364019839e-12,8.50867497401214e-12
194,RUSSIA,pasture,minimal,1.3388069786059175e-14,1.1038059853063119e-14,1.634858158667494e-14
194,RUSSIA,pasture,light,1.3717561485131267e-14,1.1444340652546092e-14,1.6614573517784725e-14
194,RUSSIA,pasture,intense,1.4011722018493684e-14,1.1585129564799432e-14,1.6969091705797328e-14
194,RUSSIA,crop,minimal,1.2375957902809727e-14,9.578723733770722e-15,1.5667405915447387e-14
194,RUSSIA,crop,light,1.3137811222360827e-14,1.0124750630878304e-14,1.6485713179226746e-14
194,RUSSIA,crop,intense,1.3268516204612131e-14,1.0463443842799316e-14,1.6497934939573502e-14
195,RWANDA,pasture,minimal,9.438162250871863e-13,7.917405127481985e-13,1.1643046869102512e-12
195,RWANDA,pasture,light,9.520026194010716e-13,8.00956838255918e-13,1.1714411721198932e-12
195,RWANDA,pasture,intense,9.590547116567555e-13,8.040937983175822e-13,1.1805408077192269e-12
195,RWANDA,crop,minimal,8.685816908471176e-13,6.78238417007335e-13,1.1123304583012676e-12
195,RWANDA,crop,light,8.988514877724245e-13,7.011840012517855e-13,1.1436427474139785e-12
195,RWANDA,crop,intense,9.039721023745515e-13,7.153096638458539e-13,1.1441054822652492e-12
196,SAUDI_ARABIA,pasture,minimal,1.626153532748366e-14,1.0563492288801348e-14,2.3822162125923454e-14
196,SAUDI_ARABIA,pasture,light,1.7184246954305745e-14,1.1737644350884274e-14,2.436931366840902e-14
196,SAUDI_ARABIA,pasture,intense,1.7834971858082537e-14,1.2100493479068778e-14,2.4860418729402895e-14
196,SAUDI_ARABIA,crop,minimal,1.6190108736220543e-14,9.94521072416884e-15,2.389743978268684e-14
